feature	mean_exp	mean_ctrl	pval	padj	M	A	negLogP	sig_fc.pval_color
SM 34:2;O2	0.16312716154848944	0.21005904956928226	0.19074592810316002	0.44961540195744865	-0.3647979214907399	-2.4335321156188545	0.7195447242575045	none
SM 35:1;O2	0.012133259870859957	0.016491903417946478	0.5570136196948843	0.725583530918336	-0.4427907027271736	-6.143493623675372	0.2541341856413183	none
SM 36:1;O2	0.35377635711985145	0.50565489321097	0.11691398100353761	0.4363903409940687	-0.5153154531230526	-1.2414327324107641	0.9321335512023604	none
SM 36:2;O2	0.10876134978960068	0.15064456458819528	0.1552815313939454	0.4363903409940687	-0.46998265869685774	-2.9657708042945963	0.8088801945654651	none
SM 38:1;O2	0.14921655991793004	0.21276139210353426	0.1443305720408886	0.4363903409940687	-0.5118287282339145	-2.488606077310429	0.8406416670883047	none
SM 38:2;O2	0.05121670520665031	0.06986398655504442	0.7586103739200254	0.8940765121200299	-0.44793452094647834	-4.063274482592513	0.11998122265956944	none
SM 39:1;O2	0.017354974448982943	0.030519195778740127	0.8324080838130032	0.9259370819942396	-0.8143677045994251	-5.441323096327626	0.07966371085068832	none
SM 40:1;O2	0.35569438606877735	0.5333920064834983	0.1277501727122155	0.4363903409940687	-0.58455800004562	-1.199010890368217	0.8936385040471718	none
SM 40:2;O2	0.21037015448239782	0.3142903374103992	0.03999350628899281	0.35994155660093524	-0.579167876465252	-1.959414114735747	1.3980105189670484	down-regulated
SM 40:3;O2	0.013412921153351411	0.018210390153354676	0.8470182419111721	0.9317200661022894	-0.4411383610636202	-5.999663538256461	0.07210723633275191	none
SM 41:1;O2	0.11774149502784176	0.197350778066206	0.11946804458538804	0.4363903409940687	-0.745139355582407	-2.713735565532454	0.9227482446415769	none
SM 41:2;O2	0.07501213676413808	0.12190365435935038	0.06584981071464038	0.40744570379683737	-0.7005454310829837	-3.386459435520038	1.1814454690804106	none
SM 42:1;O2	0.2836922350585204	0.4198807305702892	0.18694871218719344	0.44961540195744865	-0.5656529174868646	-1.5347749730039	0.7282775221755651	none
SM 42:2;O2	1.0553836649146768	1.54441055357042	0.01085595370586887	0.3300833695257137	-0.5492887589558654	0.3524119384561019	1.964332017349845	down-regulated
SM 42:3;O2	0.46092294929197813	0.640585830696957	0.05185030225512792	0.3948599940967434	-0.4748662860212108	-0.8799693508208262	1.2852487075998857	none
SM 42:4;O2	0.02892371503567706	0.04292255661061042	0.49124771260259614	0.6849792048965777	-0.5694831427629586	-4.826861750774724	0.30869945881780586	none
TG 49:1	0.013008447103345436	0.011541183378090947	0.24203464313469814	0.4991964514653149	0.17265759048058188	-6.350736235873962	0.6161224677160848	none
TG 49:2	0.08337041410628598	0.06317386624126264	0.28213503322519723	0.5270069488546137	0.40020763336630716	-3.78442450522006	0.5495429833528703	none
TG 50:0	0.03558188896798116	0.03047983333633045	0.7187543704151671	0.8573094297723077	0.22328808809791195	-4.9243571315266514	0.14341950154903294	none
TG 51:1	0.43715813996296243	0.37937202116858276	0.34858835906421115	0.5696371098467586	0.20454197913139985	-1.2960438219591033	0.45768712003322837	none
TG 51:2	0.45736201659558173	0.34941981369953906	0.18670958216941674	0.44961540195744865	0.388375138540421	-1.3227791076441116	0.7288333929426504	none
TG 52:1	0.09622915241073009	0.09410711295316952	0.8890241417533162	0.936312659931684	0.03217025037015973	-3.3934672934483587	0.05108644545510625	none
TG 54:2	1.2245598361841339	0.9966485780597496	0.31868841625109656	0.5439681587734234	0.29710647079859215	0.14371003524167617	0.49663372206017664	none
TG 54:3	0.6886312206278439	0.45797375411680286	0.14850350021604844	0.4363903409940687	0.5884666684732854	-0.8324298389453193	0.8282633099386842	none
TG 54:4	0.09912398565297549	0.07655013044796258	0.09277735122929284	0.4363903409940687	0.3728293614268663	-3.521036672858523	1.0325580306416053	none
TG 56:5	0.09785593182738629	0.03391282825425671	0.1586873967251159	0.4363903409940687	1.5288281998091695	-4.117610982939958	0.7994575644240419	none
TG 56:6	0.11131773968145273	0.1080588007187275	0.3903109138966687	0.59447354578108	0.042866944462819336	-3.188678047115501	0.40858930478118854	none
TG 56:7	0.07062511810027852	0.06577318781476824	0.5257238045680319	0.7094756589607754	0.10268178015819723	-3.8750157049424416	0.2792423578522574	none
TG 56:8	0.038411973471219746	0.028774334214192926	0.3766943869789794	0.5826991298581088	0.4167735389351675	-4.910686872905134	0.4240108510529515	none
TG 58:11	0.006173587570493753	0.0038548746044508005	0.5154366006857398	0.7087253259428923	0.6794251748797431	-7.679387765870317	0.2878247458326972	none
TG 58:5	0.043790658191877156	0.029695070341959222	0.2708334297375384	0.515625183538775	0.5603996841624201	-4.793432897593554	0.5672977304799253	none
TG 58:7	0.0719937333208917	0.06328795650992428	0.6714430000632725	0.8106445976373655	0.18594034729040523	-3.88895503048085	0.17299084942668294	none
TG 58:8	0.05937767064627191	0.04795615976898889	0.36156832298669916	0.5696371098467586	0.30820436297803094	-4.2280378729709565	0.44180962508465665	none
