feature	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
TG 50:1	0,00	0,00	0,00	0,00	1,25	0,00	0,00	0,00	0,00	0,34	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 50:2	0,00	0,00	0,00	0,00	1,17	0,00	0,00	0,00	0,00	0,00	0,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 50:3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 50:4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 51:1	6,04	37,71	30,40	30,06	24,70	6,48	14,66	13,54	16,15	11,67	28,51	8,89	7,23	5,51	13,63	30,65	12,30	18,72	9,28	5,23
TG 51:2	7,16	22,55	21,33	37,35	34,92	6,61	18,43	13,28	21,18	10,83	27,22	9,84	8,91	4,60	10,38	26,67	10,84	17,64	7,69	10,28
TG 52:1	2,23	3,01	4,22	7,86	10,27	2,09	5,32	4,00	4,65	1,93	3,99	1,90	3,32	1,14	2,47	4,61	2,80	5,69	1,18	3,89
TG 52:2	0,00	0,00	0,00	0,00	1,36	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,40
TG 52:3	0,00	0,00	0,00	0,34	0,57	0,00	0,00	0,00	0,00	0,00	0,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 52:4	0,00	0,00	0,57	1,37	2,13	0,00	0,80	0,45	0,00	0,00	0,89	0,00	0,00	0,00	0,00	0,00	0,45	0,52	0,00	0,44
TG 52:5	0,00	0,00	0,00	0,00	0,00	0,15	0,00	0,00	0,71	0,00	2,99	0,00	0,00	0,00	0,00	0,00	2,85	0,00	0,00	0,00
TG 54:2	19,75	61,45	74,55	107,85	64,46	13,88	56,13	42,32	57,87	23,99	67,81	27,30	30,10	21,51	43,97	65,66	30,07	46,40	19,55	22,54
TG 54:3	7,25	37,96	20,25	23,80	27,15	8,72	28,53	16,41	32,88	14,50	71,42	21,71	11,49	11,59	9,77	51,65	7,55	24,75	11,64	19,00
TG 54:4	0,00	0,00	13,35	18,44	0,35	1,13	6,74	2,95	1,34	1,54	0,82	0,45	0,00	1,65	0,00	0,74	3,87	14,49	2,75	0,00
TG 54:5	0,00	0,00	0,00	0,74	2,12	0,00	0,73	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,24	0,00	0,38
TG 54:6	0,00	0,00	0,00	6,35	0,00	0,00	1,38	0,35	0,00	0,74	1,67	0,00	0,00	1,33	0,00	0,00	2,29	1,88	0,00	0,00
TG 56:5	0,00	0,00	4,63	13,14	14,76	0,00	10,20	0,97	0,00	0,01	0,90	0,16	1,02	0,44	1,24	2,51	0,26	7,31	0,61	1,03
TG 56:6	1,35	7,93	8,06	9,09	9,42	0,72	3,85	2,03	4,21	3,60	6,09	2,15	0,47	4,72	8,80	6,35	2,23	8,97	1,47	0,46
TG 56:7	0,92	0,00	3,54	6,35	7,30	1,37	7,43	0,58	3,44	2,54	0,45	0,74	2,31	3,15	4,74	0,57	0,78	6,68	2,31	0,44
TG 56:8	0,00	0,00	2,13	1,55	3,11	0,79	3,08	0,42	1,39	0,89	4,11	0,00	1,26	1,02	0,00	0,72	0,98	3,19	0,76	1,22
TG 58:11	0,00	0,00	0,27	0,86	0,15	0,00	0,66	0,00	0,00	0,25	0,53	0,00	0,00	0,32	0,43	0,00	0,00	0,25	0,17	0,22
TG 58:5	0,64	0,25	2,87	2,94	2,30	0,75	2,98	0,83	1,90	0,62	4,04	0,53	1,73	1,62	0,87	0,62	0,68	1,37	0,88	1,00
TG 58:7	1,21	2,26	4,21	3,38	3,35	2,50	5,25	2,28	2,76	0,75	6,31	1,90	2,89	2,69	1,51	1,60	1,53	3,39	1,86	2,02
TG 58:8	1,02	2,38	3,20	2,61	2,29	1,32	4,69	1,58	1,38	0,00	5,64	1,84	2,32	1,95	1,26	1,91	1,32	3,09	1,32	1,26
TG 58:9	0,00	0,00	0,63	0,00	0,72	0,00	1,34	0,49	0,00	0,00	1,72	0,56	0,00	0,58	0,00	0,00	0,58	0,97	0,00	0,45
FA 14:0	3,61	2,88	3,56	5,60	3,25	7,96	1,68	2,93	2,77	1,87	4,74	1,61	2,99	3,63	2,48	3,39	1,44	2,12	4,11	2,48
FA 16:0	53,89	65,56	122,72	161,70	62,24	149,82	38,90	76,84	92,56	39,64	108,58	59,84	65,86	127,58	78,70	109,27	44,31	68,25	102,98	44,06
FA 16:1	6,93	9,84	11,99	24,16	15,89	29,37	6,45	11,94	8,11	4,75	31,02	8,03	9,85	19,84	9,40	18,67	9,19	9,25	15,14	9,97
