feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
TG 48:1	0,78	0,75	0,76	2,10	1,36	0,82	2,71	1,14	0,00	0,44	0,00	0,38	0,74	0,68	0,65	1,25	0,00	0,79	1,42	0,00	0,00	1,19	0,00	0,45	0,44
TG 48:2	1,07	1,34	1,23	5,48	5,31	2,01	14,51	2,56	1,12	0,75	0,00	2,14	1,23	2,48	1,51	5,11	0,00	1,20	7,92	0,00	0,00	4,77	0,34	1,82	0,92
TG 48:3	0,00	0,63	0,00	2,00	0,77	0,00	2,90	0,71	0,00	0,00	0,00	0,84	0,00	0,00	0,73	1,33	0,00	0,00	1,50	0,00	0,00	1,50	0,00	0,35	0,00
TG 49:1	1,34	1,56	0,00	0,00	0,00	0,00	0,00	1,22	0,68	0,56	0,58	0,76	0,92	0,02	1,08	2,65	0,00	0,44	0,00	0,00	0,00	0,63	0,00	0,59	0,50
TG 49:2	5,39	4,33	10,33	19,75	10,07	5,82	23,46	4,96	2,96	3,12	2,08	4,82	4,84	6,50	1,74	8,95	3,00	6,15	14,21	6,26	1,65	7,87	0,90	7,11	4,06
TG 50:0	2,29	3,96	3,14	8,53	4,87	4,20	12,63	2,49	2,19	1,77	1,04	2,36	3,46	3,23	2,45	5,26	1,50	2,26	6,24	5,50	1,18	5,09	1,13	4,33	2,89
TG 50:1	0,00	0,86	0,00	1,46	0,84	0,62	2,06	0,64	0,40	0,00	0,00	0,61	0,00	0,00	0,81	0,93	0,00	0,00	0,93	0,78	0,00	0,94	0,00	0,39	0,00
TG 50:2	0,00	0,72	0,87	1,74	0,68	0,79	1,63	0,00	0,00	0,00	0,00	0,00	1,77	1,65	0,00	0,81	0,00	0,86	1,08	1,04	0,00	0,76	0,00	0,65	0,00
TG 50:3	0,00	0,00	0,00	1,36	0,00	0,00	1,34	0,00	0,00	0,00	0,00	0,00	0,79	0,00	0,00	0,00	0,00	0,00	0,00	1,01	0,00	0,00	0,00	0,00	0,00
TG 50:4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 51:1	12,27	26,78	21,81	38,77	17,13	17,61	42,84	8,02	13,99	11,07	8,25	15,72	32,03	25,57	7,01	21,76	12,84	17,15	36,80	24,43	9,28	11,59	4,63	24,57	18,42
TG 51:2	13,30	22,18	20,68	45,63	24,06	16,77	51,42	7,79	11,16	8,64	7,69	14,48	23,83	18,28	6,53	23,95	11,33	13,64	32,52	30,43	7,77	10,04	2,50	23,63	18,81
TG 52:1	3,39	4,70	4,59	12,60	7,18	3,46	14,99	2,58	2,32	3,15	2,04	4,12	4,87	4,33	2,88	7,65	1,81	2,92	6,88	8,78	2,42	3,38	0,99	5,99	5,16
TG 52:2	0,00	0,68	0,00	2,19	1,39	0,00	1,99	0,00	0,00	0,00	0,00	0,72	0,00	0,50	0,44	0,90	0,00	0,00	0,51	1,23	0,00	0,44	0,00	0,00	0,00
TG 52:3	0,31	0,38	0,00	0,76	0,25	0,32	0,58	0,00	0,00	0,00	0,00	0,25	1,16	0,49	0,00	0,31	0,00	0,42	0,60	0,53	0,00	0,23	0,00	0,00	0,00
TG 52:4	0,70	0,93	1,02	4,04	1,11	0,77	2,57	0,00	0,00	0,44	0,00	0,71	2,71	1,92	0,00	1,61	0,00	1,01	1,58	2,43	0,00	0,73	0,00	0,67	0,00
TG 52:5	3,33	2,46	0,00	0,00	0,00	0,00	2,66	1,72	0,00	0,37	1,63	0,00	0,00	1,58	0,00	1,42	0,00	2,10	5,81	0,44	0,00	1,27	0,56	0,00	1,30
TG 54:2	25,73	36,03	48,77	75,23	40,46	28,96	59,46	9,45	20,38	31,59	18,59	27,91	52,49	57,54	21,11	50,48	20,06	19,76	55,86	44,91	21,34	18,44	7,74	52,09	30,22
TG 54:3	4,63	19,05	20,71	31,51	25,87	5,88	9,55	3,08	12,69	1,75	8,41	19,97	21,33	40,30	9,93	17,11	7,13	11,15	26,16	19,34	1,85	8,25	0,86	25,47	20,70
TG 54:4	1,17	0,79	2,25	7,72	1,20	0,00	11,03	1,22	1,82	1,91	0,51	1,00	0,00	0,00	0,00	9,50	0,00	0,00	3,28	1,61	1,41	0,72	0,34	18,05	2,49
TG 54:5	0,00	0,00	0,00	2,29	1,42	0,00	2,24	0,00	0,00	0,00	0,00	0,85	0,00	0,00	0,41	1,14	0,00	0,00	1,86	1,76	0,00	0,00	0,00	0,92	0,53
TG 54:6	0,74	0,00	0,00	1,85	0,00	0,00	4,64	0,00	0,55	0,00	0,00	0,00	0,00	0,00	0,00	4,44	0,00	0,00	6,08	0,00	0,00	0,00	0,00	4,88	0,00
TG 56:5	1,25	0,79	0,00	6,24	2,91	0,24	2,77	0,00	1,59	0,05	0,00	0,00	0,00	0,77	0,00	2,22	0,99	0,00	2,69	0,60	0,00	0,00	0,80	5,52	0,58
TG 56:6	2,75	0,44	2,50	11,38	2,56	1,04	8,27	0,52	1,74	1,65	0,69	4,72	0,91	5,83	4,19	7,56	1,08	0,62	4,90	1,56	1,38	0,47	0,00	4,31	4,88
TG 56:7	1,99	4,11	1,15	3,36	4,35	0,00	9,38	1,41	2,26	3,17	0,00	5,23	0,76	1,44	0,82	5,15	0,63	0,58	12,07	4,10	1,29	0,44	0,50	7,63	3,26
TG 56:8	0,00	1,85	0,00	4,11	2,67	0,45	4,31	0,69	0,91	1,27	0,00	2,15	0,00	1,42	0,89	1,85	0,72	0,72	5,41	2,11	1,17	0,47	0,00	3,59	2,85
TG 58:11	0,00	0,37	0,00	0,57	0,32	0,00	0,26	0,00	0,00	0,21	0,00	0,13	0,00	0,43	0,21	0,00	0,00	0,00	0,99	0,00	0,00	0,00	0,00	0,28	0,36
TG 58:5	0,58	1,05	0,00	3,11	1,46	0,00	1,06	0,00	0,79	1,22	0,00	1,72	0,80	2,89	1,28	0,92	0,50	0,00	2,87	1,05	0,92	0,00	0,00	2,41	2,30
TG 58:7	1,31	1,06	0,84	4,66	3,03	0,73	1,41	0,56	1,31	1,61	0,64	2,72	1,82	2,68	1,81	1,65	0,98	0,00	3,64	1,67	1,57	0,45	0,00	4,93	4,60
