"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"PC 32:0","PC 32:0","1.70375","0.00424","1.77792","0.00736","0.18182","0.00486","0.17378","0.12474","0.39834","0.12231","0.10433","0.54712","0.05887","0.04813","0.00204","0.02255","2.50026","0.42724","0.28959","0.03209","0.40869","0.09477","0.37937","0.78152","0.016","0.14747","0.28999","0.4937","0.47497","1.62289","0.51938","0.03879","0.24632","0.05646","0.1477","0.17265","0.17945","0.24424","0.25322","5.17373","1.49071","3.86112"
"PC 32:1","PC 32:1","1.01936","0.65828","4.13201","0.02794","0.01004","0.16306","0.01072","0.00545","0.11714","0.01383","0.30384","0.00011","1.59703","0.04142","0.87121","0.89456","0.04961","0.0437","0.28234","0.71599","0.19066","0.57383","0.40197","0.03101","0.40512","1.85887","0.13193","0.0245","0.09668","0.27679","0.19187","0.00079","0.08289","0.15131","0.42017","0.22647","0.15826","1.17815","0.00039","1.20178","1.45678","0.00474"
"PC 32:2","PC 32:2","0.97698","0.10262","0.78414","0.06572","0.1928","5.26058","0.6565","0.82093","2.22988","0.00645","0.25316","0.18779","0.15205","0.12893","1.26646","0.00676","0.00559","0.77265","1.27369","0.40946","0.03815","0.28512","1.98868","0.33506","0.02937","0.00072","0.01484","0.07168","0.16027","0.34286","0.95042","0.10273","0.28575","0.2946","0.00442","0.20695","0.44593","1.94497","0.18613","1.35402","1.4982","0.17256"
"PC 34:1","PC 34:1","1.67517","0.05143","1.77592","0.02295","0.69183","0.15816","0.17951","0.28426","0.02336","0.05355","0.80441","0.00269","0.68799","0.00005","0.18086","0.02556","0.66669","0.12086","0.09866","0.09527","0.00111","0.1662","0.00483","0.49116","0.2906","0.18331","0.02747","0.00004","0.04678","0.00264","2.21395","0.34025","0.07181","0.11515","1.05674","0.03627","0.02176","0.08309","0.54559","0.60802","0.35446","0.03472"
"PC 34:2","PC 34:2","1.03265","0.6282","0.02936","0.00749","1.3402","2.69876","0.22182","0.30716","2.55746","0.01801","1.42618","0.03444","0.03315","0.09672","0.20969","0.33152","0.37605","0.11896","1.16028","0.3263","3.37445","0.00829","0.16378","0.06363","0.00145","1.44746","0.18291","2.75633","0.00734","0.5831","1.05294","0.05806","0.02698","0.02107","0.3547","0.20287","0.5694","0.04225","0.92004","0.05236","0.20989","2.54645"
"PC 34:3","PC 34:3","1.50106","0.00012","1.27502","0.02016","0.66027","0.4295","0.12981","0.5105","0.66817","0.00004","2.13375","0.45228","1.20639","0.14331","0.82725","1.41249","0.08634","0.36542","0.00029","0.0632","0.33968","0.19711","0.26333","0.01166","0.02477","1.46683","0.151","0.18637","0.83545","0.10634","0.08645","0.24132","0.02488","0.0383","0.0868","0.52245","0.64015","2.72095","0.26952","0.00395","0.01607","0.28844"
"PC 34:4","PC 34:4","0.75473","0.01187","0.43434","0.40264","1.04599","0.42749","1.75224","0.02129","0.00218","0.15382","5.31187","1.96116","4.26918","0.95362","0.9579","0.32016","1.56099","0.45424","2.53084","0.00093","0.07139","0.07782","0.70951","1.94967","0.98513","3.12283","0.40186","1.58317","3.54235","1.06369","1.20396","0.00812","0.11398","2.73935","1.17158","0.01057","0.60521","1.94153","0.0286","3.14668","0.10756","1.11638"
"PC 36:1","PC 36:1","1.333","0.48108","1.19426","0.18996","0.49519","0.08113","0.32317","0.17129","1.20287","0.0718","0.25643","0.02482","0.00366","2.35121","0.32684","1.04879","0.33259","0.08642","0.00764","1.43214","0.2272","1.4089","1.18351","1.85928","0.33629","0.24851","0.07507","0.00028","0.23315","0.80542","0.22435","0.38293","0.72019","0.30655","0.51829","0.35454","1.09903","0.05849","1.99345","2.11092","0.36168","0.03073"
"PC 36:2","PC 36:2","1.38777","0.22581","0.06515","0.04074","1.91077","1.88345","0.1293","0.0687","0.43225","0.01095","2.98298","0.00122","0.41959","0.31094","0.2792","0.04237","0.04181","0.0318","0.65637","0.11231","1.16761","0.80899","0.58337","0.14498","0.07673","0.0264","0.19759","0.39986","0.07476","0.22468","0.89849","0.33428","0.16414","0.03284","0.574","0.06224","0.13299","0.00524","0.00688","0.02597","0.14111","1.41116"
"PC 36:3","PC 36:3","1.71828","0.09292","0.68818","0.24951","0.33963","0.22272","0.08665","0.92586","0.13452","0.22882","0.01788","0.09097","1.76534","0.64809","0.00099","1.26196","1.15561","0.18877","0.08341","0.79577","0.61537","0.02983","0.18273","0.00003","0.01699","0.02918","0.02257","0.04668","0.08439","0.00408","1.05406","0.00397","0.06975","0.13555","0.35579","0.02138","0.03343","0.07257","0.0543","0.04533","0.04636","0.58511"
