feature	BS-082D10	BS-364D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-663D10	KT-695D10	KT-705D10	KT-723D10
TG 54:4	1.17	2.25	1.20	0.00	11.03	1.22	1.82	1.91	0.51	1.00	0.00	0.00	0.00	9.50	0.00	0.00	1.61	1.41	0.72	18.05
TG 54:5	0.00	0.00	1.42	0.00	2.24	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.41	1.14	0.00	0.00	1.76	0.00	0.00	0.92
TG 54:6	0.74	0.00	0.00	0.00	4.64	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	4.88
TG 56:5	1.25	0.00	2.91	0.24	2.77	0.00	1.59	0.05	0.00	0.00	0.00	0.77	0.00	2.22	0.99	0.00	0.60	0.00	0.00	5.52
TG 56:6	2.75	2.50	2.56	1.04	8.27	0.52	1.74	1.65	0.69	4.72	0.91	5.83	4.19	7.56	1.08	0.62	1.56	1.38	0.47	4.31
TG 56:7	1.99	1.15	4.35	0.00	9.38	1.41	2.26	3.17	0.00	5.23	0.76	1.44	0.82	5.15	0.63	0.58	4.10	1.29	0.44	7.63
TG 56:8	0.00	0.00	2.67	0.45	4.31	0.69	0.91	1.27	0.00	2.15	0.00	1.42	0.89	1.85	0.72	0.72	2.11	1.17	0.47	3.59
TG 58:11	0.00	0.00	0.32	0.00	0.26	0.00	0.00	0.21	0.00	0.13	0.00	0.43	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.28
TG 58:5	0.58	0.00	1.46	0.00	1.06	0.00	0.79	1.22	0.00	1.72	0.80	2.89	1.28	0.92	0.50	0.00	1.05	0.92	0.00	2.41
TG 58:7	1.31	0.84	3.03	0.73	1.41	0.56	1.31	1.61	0.64	2.72	1.82	2.68	1.81	1.65	0.98	0.00	1.67	1.57	0.45	4.93
TG 58:8	1.33	0.00	2.34	0.56	1.37	0.63	1.01	1.21	0.00	2.05	1.67	1.67	1.25	1.05	0.00	0.00	1.30	1.15	0.00	3.86
TG 58:9	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.36	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.04
FA 14:0	2.42	3.58	2.75	6.35	10.31	5.43	3.05	2.79	1.89	2.78	0.00	2.56	1.80	2.45	2.16	2.73	8.61	3.16	3.66	1.77
FA 16:0	56.00	80.58	43.55	105.52	154.06	74.08	73.22	68.12	41.80	56.41	30.25	57.49	24.75	46.56	58.77	48.50	142.21	88.58	39.60	38.26
FA 16:1	6.26	10.10	5.49	16.54	48.84	16.48	6.48	5.55	2.48	6.13	4.21	6.09	1.70	4.56	9.49	5.38	31.81	12.27	5.21	3.84
FA 18:0	25.61	27.63	16.58	43.80	38.46	24.27	23.65	23.83	15.73	18.95	11.34	19.18	12.85	18.07	22.08	14.65	21.11	22.36	16.89	17.71
FA 18:1	66.26	114.87	52.63	190.71	378.31	120.00	121.12	118.24	63.49	91.66	46.67	92.77	36.55	77.33	93.14	61.18	217.46	164.80	51.61	62.54
FA 18:2	16.02	41.81	18.41	61.98	175.50	52.59	52.15	50.22	26.14	29.32	10.06	29.40	18.24	25.49	25.40	24.13	72.51	62.18	14.83	23.26
FA 18:3	0.00	0.00	0.00	1.92	15.86	6.84	1.66	1.73	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	6.03	3.77	0.00	0.00
FA 20:3	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FA 20:4	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FA 22:6	0.00	1.28	0.00	1.70	8.33	2.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.50	0.00	0.00
PI 34:1	0.00	4.62	5.91	3.02	5.15	0.00	0.00	0.00	4.02	0.00	0.00	0.00	0.00	0.00	4.58	6.53	3.36	0.00	3.39	0.00
PI 34:2	0.00	0.00	0.00	0.00	4.27	0.00	0.00	0.00	3.06	0.00	0.00	0.00	0.00	0.00	0.00	4.25	3.51	0.00	0.00	0.00
PI 36:2	0.00	5.48	6.20	5.02	7.34	0.00	0.00	4.40	6.75	4.81	0.00	4.04	2.51	4.43	4.11	9.41	7.67	0.00	4.29	2.56
PI 36:4	0.00	6.61	10.60	4.07	8.69	0.00	2.99	0.00	4.59	3.61	6.84	4.75	0.00	5.55	9.67	4.32	10.02	5.69	4.71	0.00
PI 38:3	0.00	3.09	8.08	2.30	4.05	0.00	0.00	0.61	2.45	0.00	0.00	4.30	1.59	1.86	1.02	3.06	5.00	0.00	0.72	0.00
PI 38:4	13.71	31.82	50.75	44.01	26.62	11.01	28.21	23.06	31.43	42.61	20.05	43.78	19.10	32.36	40.40	41.02	52.34	35.36	25.14	22.35
