feature	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
TG 50:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 51:2	7.23	7.48	3.1	1.32	4.16	1.82	5.73	4.77	1.4	1.96	2.54	19.1	16.44	6.38	6.12	14.45	5.12	19.24	30.89	12.6
TG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 54:2	3.33	16.82	3.23	4.08	6.29	6.98	10.81	12.74	2.18	3.69	6.37	49.66	48.53	23.15	22.88	40.97	14.83	53.44	77.03	37.83
TG 54:3	10.35	3.58	2.18	1.95	1.66	3.36	3.91	10.3	0.63	2.48	3.41	34.08	18.36	16.5	17.9	34.46	5.52	37.6	47.12	35.97
TG 54:4	0.0	1.19	0.53	0.0	0.0	0.0	0.31	0.0	0.0	1.18	0.0	3.24	2.43	3.32	0.0	4.16	0.0	2.6	0.0	4.57
TG 54:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36
TG 54:6	0.0	0.63	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.22	3.89	0.42	0.0	1.7	0.75	0.68	0.0	1.47
TG 56:5	0.0	0.31	0.0	0.0	1.4	0.34	0.22	1.77	0.34	0.34	0.0	6.41	8.02	0.63	0.0	0.96	0.69	0.48	0.0	1.82
TG 56:6	0.57	0.68	0.74	0.56	2.18	1.56	1.71	3.06	0.0	0.37	0.27	11.32	4.49	4.05	1.06	4.66	2.92	4.63	2.8	4.1
TG 56:7	1.93	0.52	0.75	0.81	2.26	0.0	0.83	2.85	0.68	0.43	1.26	7.42	3.77	1.92	0.0	2.21	1.62	1.24	2.71	2.51
TG 56:8	0.86	0.0	0.73	0.0	0.97	0.0	0.83	1.2	0.37	0.57	0.69	2.29	0.87	1.54	0.78	1.94	0.75	1.38	3.14	1.55
TG 58:7	0.65	0.0	0.41	0.61	1.5	0.56	1.5	1.38	0.58	0.51	0.78	4.68	1.91	1.6	1.77	3.22	2.35	2.81	3.1	2.2
TG 58:8	0.6	0.0	0.37	0.0	1.23	0.58	1.25	1.37	0.0	0.42	0.6	3.78	1.16	2.39	1.07	1.78	1.87	2.28	3.02	1.78
TG 58:9	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.89	0.0	1.2	0.0	0.0	0.0	0.53	0.0	0.55
FA 14:0	3.58	2.71	8.22	3.09	2.54	2.08	1.54	5.01	1.69	2.69	2.46	4.36	4.83	4.52	2.39	4.19	8.26	4.37	6.96	4.46
FA 16:0	81.41	77.97	152.66	69.03	63.16	33.59	63.11	103.09	36.38	77.43	32.43	137.69	201.91	136.93	56.13	109.93	184.13	112.83	203.17	128.32
FA 16:1	19.0	8.94	29.31	11.23	3.78	4.36	7.68	30.39	3.5	13.2	2.75	28.52	26.05	27.03	8.03	23.37	70.55	30.02	42.22	23.99
FA 18:0	19.15	37.11	51.8	24.66	36.01	16.66	28.07	34.38	20.68	30.05	15.29	40.73	78.2	42.35	20.11	42.61	79.69	36.93	49.33	40.33
