JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
-0.3858512545311679	-0.5467073213455387	-0.016328592241615474	-0.3949176671577115	-0.3257249515289139	-0.07587557255403299	0.04917643636180057	-0.5654060998806177	-0.33485993411107734	0.00631750201784432	-0.3447036448654287	-0.20996881034140114	-0.12767594681925062	-0.46540778419251433	-0.7006876214337321	-0.1800578964841405	-0.3684418517126616	-0.5925353321714378	-0.6087942431182326	-0.18173211437728137	-0.08325929976749977	-0.055952176948001454	0.08307781266100114	-0.21115996450310995	0.06565162831857742	-0.213849261268391	-0.04117321092300429	0.06728693908514725	-0.15920170874654035	0.07136731575470792	-0.2803576934078759	0.012808553472326704	0.19162322692876085	-0.05752330223010163	-0.20513515446594313	0.05508437040641706	0.3464690924903791	0.05490837640832794	0.006943350477023366	-0.008460792058286846
0.33598810699281056	-0.03799728496169558	0.8708291880404505	0.013996352529931264	0.3621075796832053	0.6475255139410705	0.6491556460645636	0.12221711178537664	0.3225657445370881	1.0653379213650043	0.008001696114662362	0.3500061413799732	0.6823739193494012	0.26060568012537033	-0.383096240120661	0.3885892101715535	0.11687240460850397	0.01682727603113574	0.11727664641435495	0.6203796263398809	0.8635365993330194	0.3440659672997822	0.8619271735982834	0.5097869393212573	0.3486436996311858	0.3232362855708199	0.5918596559718904	0.995709008290664	0.2643452029490298	0.8034397924249412	0.09322296940471703	0.9995462095187677	1.0092866405187202	0.8220335992185622	0.5119383607338663	0.7298909906960205	1.2763077703899048	1.01022102724843	0.964159189232565	0.975626071919117
0.045683924233856574	-0.35813035074179767	0.3891393759316547	-0.25459895813515404	-0.0432710229094228	0.30540688807743643	0.22243054019571126	-0.3546082011975168	-0.16526730225020173	0.5336133582990387	-0.28249080174058067	0.032761889261340896	0.3438599629160487	-0.12793879222998017	-0.4878189648835134	0.061969531811484534	-0.10210811721446253	-0.3268195574547312	-0.3969100077889119	0.12406209595548064	0.4285019287005433	-0.0014706192797882389	0.30926453784833535	0.0991051263992715	-0.0718076623490852	0.0071122674430719995	0.20439923033197327	0.45297949804238463	-0.15502174883822073	0.4552961361346427	-0.17606891822994025	0.4734491592213607	0.46029335069719923	0.41976883365718076	0.13844431241443733	0.3821734244191405	0.6723605160568378	0.4547961603171348	0.463266901358051	0.48055677554004933
-1.2691971833273543	-3.8969553396797014	-0.7584838487935505	-3.702841370769593	-1.1705389532845807	-0.9797282976358993	-1.2986954311550756	-1.5695112214616564	-3.6727183631521716	-0.8915294295617273	-3.7720274312226763	-1.231875595915026	-0.6690174166115739	-3.8744951536403494	-3.878224121363594	-1.1813280295696567	-1.2996027084043436	-3.798551208934782	-3.9997293502216116	-1.32056091131402	-1.0190751036215027	-1.588016633356161	-0.98582967773514	-1.370156926370669	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-1.0641852166459482	-3.474752243168445	-0.9516323005755402	-3.464765178820196	-0.9666779815886472	-1.245217493002044	-1.0141308638227033	-3.508547225062685	-1.122640728269746	-0.8585783456015406	-0.9671638147768267	-1.172950164917179	-1.0458872899989105
-3.7005609474863417	-1.3629292336235663	-1.2029885870726207	-3.702841370769593	-1.3607712819356417	-1.4434855907975803	-1.280966664194644	-1.6348435316050867	-3.6727183631521716	-1.1064844712301833	-3.7720274312226763	-1.2864343670543188	-0.9929773729217944	-3.8744951536403494	-3.878224121363594	-3.559725930517794	-1.4438466002080301	-3.798551208934782	-1.5448844902131014	-1.3753477184164953	-1.2350943095771352	-3.6254431312967847	-1.3323988706745251	-3.603153036762823	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-1.1488726471548323	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.1392239598796787	-1.021248012716524	-1.183317454679076	-3.508547225062685	-1.3338779155114364	-0.8005863986238538	-1.1840913278039131	-1.1689718670351434	-1.0553804435327399
-0.8123814535680168	-0.5681681393251667	-0.636884687747003	-0.5683455149349196	-0.6469650983615511	-0.8370065106495728	-0.5293454613500497	-1.0250967116108332	-0.8282411874064902	-0.5030019614934824	-0.8952324550219753	-0.5347189323424756	-0.4544258453539517	-1.0337619190285425	-0.9617701728136692	-0.7388679410780943	-0.4782641650117233	-0.7431728775597822	-0.9454994403582144	-0.7471735198820062	-3.3654280780721413	-3.6254431312967847	-1.3617390028663154	-3.603153036762823	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.2939097991931823	-1.2421910383718562	-1.1916163278699898	-3.508547225062685	-3.574427163794036	-1.0807184702586174	-1.3363796721869696	-3.6861677649851177	-1.2756325204613006
-1.7511709408414289	-1.7539405394256062	-1.749306866933307	-1.8107467680791127	-1.5857111085291398	-1.8938136689293061	-2.2017854181470193	-1.8180428786589071	-2.3504990684182525	-2.2250114490068467	-2.1922438346058657	-1.695632889076707	-1.7264188883359566	-1.8370686556997258	-1.4820247742678578	-1.753545956533907	-1.6060614557797228	-1.622459949879101	-2.080651257845538	-1.8434396565943576	-3.3654280780721413	-0.550261276678093	-0.3002297760424032	-3.603153036762823	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-0.4613046467106896	-3.597105856613671	-3.701583526131087	-3.6843767168968276	-3.508547225062685	-3.574427163794036	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-3.6140890140659057
0.29590694277537555	0.20551266910831548	0.26882600064715845	0.28940277327717834	0.2957822373446476	0.15832757217369361	0.1645337526088925	0.18632106675361843	0.11580352407030135	0.09384314734265385	0.3243958993725946	0.376657866007265	0.3624102850647794	0.30295476733147547	0.35477198902855955	0.2923879303319672	0.2786876105857268	0.22027406906916855	0.029735596416624308	0.23934571372209257	1.4193532028585507	1.5242869776679533	1.5512739754890814	1.566406784847843	1.5978889775814558	1.5064788312892838	1.388623354237667	1.325859315110371	1.446830197224971	1.5041685850329949	1.5091981185858945	1.1639946823444711	1.4047093860445703	1.5077054381812915	1.4205752573835702	1.360419593313546	1.0997134012827263	1.365608301868974	1.382014384826532	1.2560572817094409
-1.4404895595012668	-1.5371198573398133	-1.4015334677269995	-1.4573287029554434	-1.3516279024957718	-1.768874932321006	-1.6837591756610937	-1.4331981680770172	-1.6770831685546217	-1.6961833712133076	-1.5816957330523844	-1.3669856283765642	-1.397950644325036	-1.4765551449683116	-1.3840695273451513	-1.5105079078476127	-1.3665494980349566	-1.4058542556751166	-1.6652755990706807	-1.4618900641104893	-0.2928106015269047	-0.15547392179682512	-0.2159446548586644	-0.38857408319232367	-3.490771493052708	-0.37144082237556375	-0.3110142820236882	-3.4690189332658865	-0.19213013029038262	-0.4605164570064818	-0.25204502440235366	-0.5750901167959507	-3.701583526131087	-0.5028189430340411	-0.36272951057085745	-0.47925781236228104	-3.5549347343348727	-0.43220530390280604	-3.6861677649851177	-0.6228629383734106
-1.8372380873658858	-2.273706049281801	-1.623382217343356	-1.7297135171698945	-1.851978997933909	-1.8081846663309387	-1.979936668530663	-1.892945326727257	-2.154204423274284	-2.1311069461385155	-1.7591902065175038	-1.6381896401908371	-1.9578129558585433	-1.9202526442010244	-1.5090082639534514	-1.6620988392273528	-1.7175534686607765	-1.7691674312495727	-2.386945493501876	-2.149864684145045	-3.3654280780721413	-0.6315662163555734	-0.6779756104169276	-3.603153036762823	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-0.6880639948317852	-3.597105856613671	-3.701583526131087	-3.6843767168968276	-3.508547225062685	-3.574427163794036	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-3.6140890140659057
