"feature","BS-064D03","JV-035D03","JV-048D03","KT-515D03","KT-926D03","JV-148D03","JV-157D03","KT-193D03","KT-247D03","KT-312D03","KT-347D03","KT-352D03","KT-417D03","KT-434D03","KT-522D03","KT-525D03","KT-565D03","KT-612D03","KT-705D03","KT-718D03","JV-071D03","BS-082D03","BS-336D03","BS-346D03","BS-351D03","BS-364D03","BS-377D03","JV-138D03","KT-313D03","KT-412D03","KT-445D03","KT-537D03","KT-538D03","KT-539D03","KT-663D03","KT-695D03","KT-716D03","KT-723D03","KT-771D03","KT-805D03","KT-880D03","KT-974D03","BS-671D03"
"Cer 41:1;O2","-0.34679","-0.84339","-0.56864","-0.39794","0.11394","-0.71237","-1.0511","-0.24413","-0.07572","-0.46852","-0.48149","-0.75814","-0.13077","-0.40847","-0.33724","-0.4437","-0.72488","-0.23657","-0.30103","-0.37675","0.0086","-0.27196","-0.284","-0.11919","-0.31876","-0.3098","-0.64857","-0.46852","-0.55558","-1.12541","-0.85642","-0.58602","-0.29243","-0.40894","-0.3098","-0.49485","-0.21467","-0.52288","-0.23657","-0.30159","-0.47884","-0.4318","0.0607"
"Cer 42:2;O2","0.35411","-0.23657","-0.01773","0.19866","0.31597","-0.20066","-0.4318","0.26245","0.46687","0.11059","-0.04096","-0.25181","0.15534","-0.45758","0.26245","-0.01323","0.20412","-0.24413","-0.26761","0.28556","0.27646","-0.22185","-0.40894","0.38202","0.19866","0.42488","-0.13668","0.18184","0.14613","-0.48149","-0.14267","-0.03621","0.36736","0.16435","-0.36653","0.15534","0.0569","-0.4318","0.26951","0.13988","-0.09691","0.02531","-0.06048"
"LPC 16:0","3.20686","3.25471","3.17392","3.0912","2.94869","3.06973","3.14357","3.13997","3.19699","3.4356","3.1648","2.83395","3.2544","2.93739","2.9763","3.01188","3.14994","2.97148","3.1511","3.30398","3.62059","2.89134","3.16641","3.08629","3.12467","3.08028","3.19819","2.80685","3.25771","2.9867","2.82009","2.855","2.98739","3.16157","2.06837","2.85854","3.27785","3.08721","3.52337","3.2514","2.10701","3.10802","3.1034"
"LPC 16:1","1.68233","1.53983","1.58218","1.08743","1.01072","1.57054","1.38721","1.23553","1.0465","1.7721","1.33325","0.9154","1.19061","1.30792","0.93702","1.21165","1.29159","-0.49879","1.09864","1.28103","1.74484","1.13162","1.46879","-0.90738","1.48302","-0.67873","1.75686","0.96142","1.23578","1.09237","-1.03686","-0.37946","0.79865","-0.92732","-0.61674","0.84696","1.58827","1.26482","1.22246","1.3145","-0.50115","1.28511","1.34967"
"LPC 18:0","2.69416","2.82294","2.75133","2.60971","2.48392","2.7275","2.69271","2.60814","2.77345","2.94768","2.69407","2.44624","2.73038","2.4205","2.5253","2.58111","2.70171","2.48787","2.64054","2.70345","3.09459","2.37159","2.82782","2.47506","2.70526","2.54692","2.82065","2.35478","2.67303","2.58745","2.42374","2.39328","2.42869","2.61256","2.09639","2.37451","2.85354","2.53498","2.79675","2.75745","1.832","2.55645","2.62214"
"LPC 18:1","2.55754","2.77206","2.60707","2.4839","2.39627","2.68651","2.50868","2.66063","2.5503","2.6471","2.48015","2.20398","2.49238","2.34151","2.40128","2.48623","2.49694","2.288","2.45744","2.43388","2.91513","2.14545","2.4625","2.50094","2.50106","2.34003","2.59751","2.26977","2.44026","2.26057","2.23482","2.2379","2.53499","2.35178","1.57426","2.2396","2.57315","2.37756","2.66369","2.51445","1.64611","2.4675","2.66561"
"LPC 18:2","2.38865","2.38061","2.64326","2.44044","2.24981","2.58163","2.36942","2.6885","2.24615","2.40434","2.21848","1.84497","2.15897","2.09705","2.20314","2.32769","2.31035","2.21437","2.33686","2.29783","3.12759","2.01862","2.12872","2.32629","2.3553","2.04005","2.38655","2.30224","1.92824","2.09367","1.97731","2.2237","2.3875","2.11631","1.59173","2.25059","2.35156","2.27983","2.43529","2.34384","1.47943","2.34046","2.65586"
"LPC 18:3","1.80455","2.02535","1.94255","1.9026","1.73989","1.95036","1.93717","1.97649","1.71991","2.00668","2.00169","1.66502","2.01119","1.60552","1.80373","1.81531","2.02444","1.85522","1.82802","1.93414","2.2686","1.59857","1.88195","1.8879","1.8732","1.87431","2.06228","1.58838","2.01862","1.85625","1.65725","1.60032","1.79176","1.87783","-0.63321","1.59373","2.00565","1.86664","2.13615","2.02061","0.88649","1.89387","1.89553"
"LPC 20:3","1.55787","1.63397","1.43553","1.5858","1.44342","1.74904","1.69478","1.5799","1.40603","1.91593","1.39182","0.93852","1.43981","-0.52543","1.20763","1.40415","1.16197","1.12872","1.11826","1.17522","2.01758","1.0693","1.43933","1.08207","1.35334","1.30233","1.64008","1.42045","1.64187","1.29248","1.32879","1.17955","1.22063","1.22968","0.92273","0.94596","1.71492","1.51746","1.79337","1.42943","-0.61357","1.53542","1.44979"
"LPC 20:4","1.9509","2.02461","2.06919","2.01778","2.05877","2.38894","2.00484","2.30042","1.81657","2.21307","1.94586","1.47943","1.75381","1.66829","1.90639","2.18358","1.90698","1.86034","1.88343","2.0667","2.39069","1.7775","1.90859","2.08955","1.88417","1.5284","2.01899","2.05755","1.87023","1.92998","1.69767","1.77247","2.37469","2.02987","1.32305","1.95347","2.09381","2.08707","2.37293","2.07199","1.55121","2.06251","2.00329"
"LPC 22:6","1.3753","1.39445","1.34439","1.68196","1.63949","1.94453","1.47085","1.72485","1.38346","1.80257","1.39933","1.00604","-0.52415","-0.48338","1.479","1.60788","1.56158","1.48982","1.43886","1.51335","1.70535","-0.26614","1.56691","1.856","1.35851","1.17926","1.51121","1.78504","1.30168","1.5534","1.12156","1.43409","1.69966","1.38003","0.9345","1.66266","1.52179","1.42325","1.82672","1.48671","1.1038","1.37985","1.47986"
"LPC O-16:0","1.05805","1.17754","1.11893","0.93802","1.10003","1.11694","1.10687","-0.87503","1.05038","1.46657","1.15229","0.89487","1.2465","-0.64688","-0.81067","1.01745","-0.53647","-0.64439","1.09656","1.05154","1.43632","-0.69584","1.27623","-0.62806","1.15806","-0.47124","1.23249","-1.02807","-0.39412","0.99957","-0.85929","-0.43023","0.80754","1.02653","1.17289","-1.09238","1.29776","1.15776","1.53237","-0.31922","-0.55235","1.2266","-0.47429"
"PC 30:0","0.10037","0.25285","0.43457","-0.21467","-0.26761","-0.61896","-0.06048","-0.21467","-0.25964","0.26007","-0.04576","-0.34679","-0.56141","-0.5115","-0.08619","-0.23657","-0.55927","0.10037","-0.07058","-0.92067","0.10037","-0.42025","0.03743","-0.04576","-0.22915","0.17898","-0.01323","-0.05061","0.18752","-0.35655","-0.34679","-0.53968","-0.35655","-0.13077","0.17319","-0.20066","0.11394","0.11394","-0.7559","-0.38568","-0.16749","-0.40894","0.19312"
