"feature","class","Lipid.Maps.Category","Species.Name","Molecular.Species.Name","Structural.Species.Name","Level","Mass","Sum.Formula","Total.FA","Total.C","Total.DB","Total.OH","FA","FA.C","FA.DB","FA.OH","LCB","LCB2","LCB.C","LCB.DB","LCB.OH","LCB.Bond.Type","FA1","FA1.C","FA1.DB","FA1.OH","FA1.Bond.Type","FA2","FA2.C","FA2.DB","FA2.OH","FA2.Bond.Type","FA3","FA3.C","FA3.DB","FA3.OH","FA3.Bond.Type","FA4","FA4.C","FA4.DB","FA4.OH","FA4.Bond.Type","Category","Main.Class","Sub.Class","Cellular.Component","Function","Bond.type","Headgroup.Charge","Lateral.Diffusion","Bilayer.Thickness","Intrinsic.Curvature","Transition.Temperature","FA.Unsaturation.Category1","FA.Unsaturation.Category2","FA.Chain.Length.Category1","FA.Chain.Length.Category2","FA.Chain.Length.Category3","LION.abbr","GATOM.abbr","LIPIDMAPS.reaction.abbr"
"Cer 42:2;O2","Cer","SP","Cer 42:2;O2","","","SPECIES","647.62165","C42H81NO3","42:2;O2","42","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","ceramides [SP02]","","endoplasmic reticulum (ER)|plasma membrane","lipid-mediated signalling","","","","","negative intrinsic curvature","","","","","","","Cer(42:2)","Cer 42:2;O2","Ceramide"
"LPC 16:0","LPC","GP","LPC 16:0","LPC 16:0","","MOLECULAR_SPECIES","495.33249","C24H50NO7P","16:0","16","0","0","16:0","16","0","0","","","","","","","16:0","16","0","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(16:0/0:0)","LPC(16:0)","LPC"
"LPC 16:1","LPC","GP","LPC 16:1","LPC 16:1","","MOLECULAR_SPECIES","493.31684","C24H48NO7P","16:1","16","1","0","16:1","16","1","0","","","","","","","16:1","16","1","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(16:1/0:0)","LPC(16:1)","LPC"
"LPC 18:0","LPC","GP","LPC 18:0","LPC 18:0","","MOLECULAR_SPECIES","523.36379","C26H54NO7P","18:0","18","0","0","18:0","18","0","0","","","","","","","18:0","18","0","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(18:0/0:0)","LPC(18:0)","LPC"
"LPC 18:1","LPC","GP","LPC 18:1","LPC 18:1","","MOLECULAR_SPECIES","521.34814","C26H52NO7P","18:1","18","1","0","18:1","18","1","0","","","","","","","18:1","18","1","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(18:1/0:0)","LPC(18:1)","LPC"
"LPC 18:2","LPC","GP","LPC 18:2","LPC 18:2","","MOLECULAR_SPECIES","519.33249","C26H50NO7P","18:2","18","2","0","18:2","18","2","0","","","","","","","18:2","18","2","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","Polyunsaturated fatty acid","FA with 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(18:2/0:0)","LPC(18:2)","LPC"
"LPC 18:3","LPC","GP","LPC 18:3","LPC 18:3","","MOLECULAR_SPECIES","517.31684","C26H48NO7P","18:3","18","3","0","18:3","18","3","0","","","","","","","18:3","18","3","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(18:3/0:0)","LPC(18:3)","LPC"
"LPC 20:3","LPC","GP","LPC 20:3","LPC 20:3","","MOLECULAR_SPECIES","545.34814","C28H52NO7P","20:3","20","3","0","20:3","20","3","0","","","","","","","20:3","20","3","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","PC(20:3/0:0)","LPC(20:3)","LPC"
"LPC 20:4","LPC","GP","LPC 20:4","LPC 20:4","","MOLECULAR_SPECIES","543.33249","C28H50NO7P","20:4","20","4","0","20:4","20","4","0","","","","","","","20:4","20","4","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","Polyunsaturated fatty acid","FA with more than 2 double bonds","FA with more than 18 carbons","FA with 19-21 carbons","Long-chain FA","PC(20:4/0:0)","LPC(20:4)","LPC"
"LPC 22:6","LPC","GP","LPC 22:6","LPC 22:6","","MOLECULAR_SPECIES","567.33249","C30H50NO7P","22:6","22","6","0","22:6","22","6","0","","","","","","","22:6","22","6","0","ESTER","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]|lysoglycerophospholipids","monoacylglycerophosphocholines [GP0105]","endoplasmic reticulum (ER)","membrane component|lipid-mediated signalling","","headgroup with positive charge / zwitter-ion","","","positive intrinsic curvature","","Polyunsaturated fatty acid","FA with more than 5 double bonds","FA with more than 18 carbons","FA with 22-24 carbons","Very long-chain FA","PC(22:6/0:0)","LPC(22:6)","LPC"
