"","KT-718D10","KT-347D10","KT-565D10","BS-064D10","JV-157D10","KT-247D10","BS-671D10","KT-771D10","KT-538D10","KT-805D10","KT-412D10","KT-445D10","KT-539D10","KT-352D10","BS-336D10","KT-695D10","BS-364D10","KT-663D10","KT-525D10","KT-193D10","BS-346D10","KT-312D10","KT-417D10","JV-048D10","KT-705D10","KT-716D10","KT-537D10","KT-723D10","KT-926D10","JV-148D10","KT-522D10","JV-138D10","KT-612D10","BS-377D10","BS-082D10","KT-434D10","KT-313D10","KT-880D10","KT-974D10","JV-035D10","KT-515D10","BS-351D10"
"BS-336D10",0.856984417631296,0.896823616884317,0.860402063931239,0.835435765727638,0.886153746901225,0.906672770201488,0.82341772736787,0.930270925405596,0.915020330543284,0.8673426596077,0.844342991971674,0.868197870632108,0.8426787999346,0.892982995130494,1,0.863148435459838,0.910684276677191,0.93500831808845,0.927645808247797,0.892087436058925,0.876249243481151,0.88322572816011,0.851081805568924,0.873374593505395,0.834029969993187,0.777473114068546,0.813939341808349,0.860143566174944,0.802693124790691,0.904816034609918,0.822637109777965,0.88070188374444,0.905075638414575,0.854773721911142,0.834847686543129,0.857031816486576,0.789402779245516,0.86444596351216,0.772577501072355,0.823698294299363,0.901517385885408,0.877083566962263
"BS-082D10",0.764623384205082,0.834055561103604,0.778025603926289,0.823487123557988,0.820322736734737,0.805426180367651,0.769402931197211,0.789256122179966,0.848218263152358,0.813525735949222,0.770531742340104,0.789964270027722,0.831206336137242,0.774593582427698,0.834847686543129,0.764164898862633,0.819429275404694,0.790311431445494,0.825001728124845,0.768916102024623,0.756860630695044,0.792865986479808,0.820801292788183,0.834062986759575,0.762822049004739,0.733960681668733,0.770070430649378,0.795613463774942,0.896588908657767,0.804734291354954,0.87923120879391,0.793819912322447,0.826418021644767,0.754563022089786,1,0.841460735855478,0.794291727265326,0.806607700795514,0.858960297641206,0.834043272222737,0.770970720048056,0.823585615789447
"KT-718D10",1,0.881197061724071,0.821813752222576,0.795770775153074,0.874969661778757,0.839043857758095,0.883778087734357,0.908638034511428,0.834640311033515,0.921861151008392,0.898719029919327,0.860706643544034,0.849309134479762,0.906935876328413,0.856984417631296,0.878308796425606,0.836963667983477,0.833492833257255,0.839075321738756,0.90384828078191,0.90013149082754,0.809491039075108,0.858722851266497,0.882348965350899,0.864367491259473,0.895604100198755,0.884942103921081,0.903202962876973,0.826061109721049,0.81727634970522,0.769305447815407,0.856924728838341,0.858009444019453,0.872639183525276,0.764623384205082,0.874272257841145,0.75821986417214,0.81152447707994,0.79158147629945,0.769663007646768,0.915292093597825,0.856504487812307
"KT-705D10",0.864367491259473,0.856732930200209,0.920996764946506,0.83609964566338,0.871588833621566,0.923641748508951,0.897517469658992,0.851858565350951,0.825550779928949,0.839007785153094,0.910599953318654,0.872625525009952,0.866427645429087,0.871408711439945,0.834029969993187,0.867735815750996,0.903775639920531,0.862672930022847,0.878154248906736,0.911515626347001,0.904672736492141,0.84790763553048,0.876781517484665,0.825160602567207,1,0.910809141863549,0.902163944954282,0.818742088914722,0.775752473972482,0.821025611926044,0.810895131768728,0.831501752761183,0.808221976829672,0.937803577996963,0.762822049004739,0.851319320593527,0.805054556467533,0.811361157717196,0.794649961784082,0.844904737009799,0.81870494314853,0.881434509714106
"KT-612D10",0.858009444019453,0.864740688854275,0.800818134758154,0.867355152274829,0.891988251811845,0.830446196653626,0.804435050295964,0.927644383274033,0.894769989847337,0.849514973234284,0.803356728442564,0.886296780457978,0.828995614406619,0.843775345937573,0.905075638414575,0.803507569989291,0.850330877613092,0.83888613241716,0.87400191092391,0.880447071550349,0.836685632480953,0.823285350227472,0.822996112125999,0.857431646731468,0.808221976829672,0.773289420931706,0.803706332162816,0.842176005514395,0.792868740525027,0.85161921615253,0.824050875967761,0.887623983669074,1,0.876267486748203,0.826418021644767,0.847806250889689,0.767197043335821,0.865245154748764,0.739554803201522,0.805434458689328,0.882019693099493,0.858527563471096
"KT-565D10",0.821813752222576,0.831690970564413,1,0.865333421404938,0.874772847020893,0.934123412038387,0.881890029886706,0.806910069555386,0.867205741391599,0.830098280479621,0.852384829264073,0.852858406862143,0.869885129513748,0.886347123079552,0.860402063931239,0.826662734201602,0.942652401334136,0.909860643448768,0.900389097886908,0.850030184750101,0.894936213037253,0.838044092707745,0.873209666435325,0.817234313171283,0.920996764946506,0.832448017794382,0.859903255489169,0.776950490794616,0.791954432619756,0.817408174896854,0.825276423442513,0.847595669378426,0.800818134758154,0.879281158601027,0.778025603926289,0.842566265016414,0.787505971813386,0.832416789058964,0.802733366923096,0.869972488184463,0.811824777385811,0.944733236267965
"KT-525D10",0.839075321738756,0.900799392928353,0.900389097886908,0.862416550690175,0.922453970389896,0.942679699114913,0.87281949505478,0.888550260910152,0.900183258500001,0.878645765329495,0.871617272751889,0.923762621104543,0.860985107413515,0.897305957681134,0.927645808247797,0.889825066978909,0.925110138929951,0.937017755952398,1,0.905548762508267,0.894484758743138,0.82226997832639,0.873214469507595,0.846870857291323,0.878154248906736,0.818678541859327,0.87598656823258,0.82418958173876,0.817289894055125,0.877737736446112,0.872203319534973,0.86257148694481,0.87400191092391,0.877651526207923,0.825001728124845,0.860823427911376,0.767338367853798,0.873017848017786,0.817790667488941,0.828545270770545,0.857440206470971,0.883185430194609
"KT-522D10",0.769305447815407,0.850341400472589,0.825276423442513,0.881833193804372,0.850731572440116,0.836031779208153,0.782361516259831,0.797291526500167,0.843697484158982,0.78633662879649,0.766451815090537,0.836248874801564,0.862598234090532,0.769223324990157,0.822637109777965,0.810661558581434,0.835718136950926,0.841599154527669,0.872203319534973,0.808868912577541,0.789853102242571,0.77107315889604,0.810626146320711,0.764870336750185,0.810895131768728,0.739251053008586,0.816884922312195,0.779653206198511,0.878478142659839,0.808201291869555,1,0.822552896036718,0.824050875967761,0.778189967960367,0.87923120879391,0.783946530497186,0.731758796390096,0.850985717318048,0.856172253511754,0.814589973810284,0.787199823062247,0.845635109638216
"KT-434D10",0.874272257841145,0.896089931341148,0.842566265016414,0.808227826773125,0.872304473587572,0.866285294726028,0.910480684851227,0.823054294693389,0.845799826465789,0.926685171989075,0.89296801916048,0.851833759659683,0.817142277880875,0.870451501149135,0.857031816486576,0.821244454583688,0.859507395014986,0.831550650216665,0.860823427911376,0.815122952365248,0.822572766415324,0.816063350201176,0.879403492350451,0.960785578832322,0.851319320593527,0.858468321132297,0.909205420768946,0.920484866759462,0.859623493678583,0.884333918154109,0.783946530497186,0.81914176214633,0.847806250889689,0.840105378820737,0.841460735855478,1,0.861939610680959,0.802031985293971,0.819573415717482,0.833074751286434,0.83141315736874,0.88911657944878
"KT-417D10",0.858722851266497,0.902621671077193,0.873209666435325,0.825813329409672,0.909549506382191,0.917354077035064,0.908907694175718,0.809786849704071,0.801746861747004,0.822266735078335,0.829095199069307,0.842472150382419,0.898810749038801,0.809910982443108,0.851081805568924,0.839176952228686,0.907857001317509,0.876082187925527,0.873214469507595,0.850989638962419,0.838956741870025,0.76765755858628,1,0.862595161891318,0.876781517484665,0.885572261597433,0.854833432421208,0.788621707760448,0.842223300927118,0.740869773601293,0.810626146320711,0.761731254891521,0.822996112125999,0.81207565024974,0.820801292788183,0.879403492350451,0.787843689816024,0.840890937019969,0.846312419754346,0.868495553752173,0.759108008885762,0.882619141315693
"KT-352D10",0.906935876328413,0.850581881194566,0.886347123079552,0.821458635440257,0.874314891738587,0.893256260859532,0.878760787366395,0.908000264213633,0.869546583594348,0.929410915334611,0.917895694091152,0.889872517439847,0.800616903723288,1,0.892982995130494,0.899631330742408,0.870355179941283,0.906325893907437,0.897305957681134,0.902107559255902,0.9434434111706,0.873075050193736,0.809910982443108,0.858199268500884,0.871408711439945,0.825694978887011,0.90087282179008,0.881090156670353,0.805789941797381,0.888812765752468,0.769223324990157,0.890473140182712,0.843775345937573,0.915478094168281,0.774593582427698,0.870451501149135,0.818342135481821,0.83949339091102,0.778870982856289,0.794877663630954,0.910832457745455,0.881521443601936
"KT-347D10",0.881197061724071,1,0.831690970564413,0.827410083656685,0.914765727487504,0.914269168093445,0.893443277689487,0.867651418679873,0.866586891104306,0.892249556449259,0.877297842836636,0.903389130145323,0.879337014878264,0.850581881194566,0.896823616884317,0.924737938412209,0.891344954504695,0.894372136106974,0.900799392928353,0.853336139311423,0.856321697833214,0.821494240338423,0.902621671077193,0.888585591551188,0.856732930200209,0.868679079499576,0.883476652626599,0.884791033986823,0.86359453942003,0.856490228788591,0.850341400472589,0.795139118240305,0.864740688854275,0.813315964995975,0.834055561103604,0.896089931341148,0.814086060582944,0.84952157998558,0.84544995107574,0.805718639495909,0.814083165655393,0.875377310548732
"KT-312D10",0.809491039075108,0.821494240338423,0.838044092707745,0.785278797161572,0.806570884787731,0.858154503145419,0.785832456478824,0.846678607417603,0.85076007078428,0.824606678406458,0.837051260391975,0.789324599995085,0.803068845492381,0.873075050193736,0.88322572816011,0.813510478640449,0.848713123765723,0.872176616609728,0.82226997832639,0.829441574462069,0.873375371555906,1,0.76765755858628,0.824775112443778,0.84790763553048,0.743881645242952,0.811188445959669,0.829141768694676,0.758906407452012,0.857981575839769,0.77107315889604,0.844884422542827,0.823285350227472,0.859545124978495,0.792865986479808,0.816063350201176,0.824419378157786,0.817157094682674,0.741709575540099,0.804636916219711,0.83575912957942,0.83509834284236
"KT-247D10",0.839043857758095,0.914269168093445,0.934123412038387,0.863469694674686,0.92362260001503,1,0.909628828601024,0.855467825930703,0.867996436201273,0.853432914706306,0.885010169158264,0.903416335124619,0.897107798576671,0.893256260859532,0.906672770201488,0.906947736445157,0.952517154590433,0.950552235829921,0.942679699114913,0.895941406077043,0.911398432882535,0.858154503145419,0.917354077035064,0.838963732165744,0.923641748508951,0.861179127179597,0.879110463902077,0.797776610321542,0.824556444803351,0.824788668362084,0.836031779208153,0.832501267304502,0.830446196653626,0.87806110693359,0.805426180367651,0.866285294726028,0.822326611730525,0.885753171341811,0.82951965468371,0.872150306234693,0.797283202276869,0.896132942955383
