feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
38:6	1.1861144807549517	0.8408962417085613	0.388885498873039	0.16135534803163618	0.7089503208605445	-0.49624355960768196	t-test	-2.6571437275719667	0.016044727629892962	1.7946676509485664	0.38507346311743107	0.4144564092369604	yes	no	38	6	*	ns	*	-0.49624355960768196
38:7	0.05695797772191582	0.03519443114096971	0.014590902340578983	0.01309125095173898	0.6179016978586986	-0.6945507572306207	t-test	-3.2769054021965527	0.0041894356072093766	2.377844480419005	0.3016393637190751	0.5205119839877367	yes	no	38	7	*	ns	*	-0.6945507572306207
39:1	0.030519195778740127	0.017354974448982943	0.033770480130512114	0.012134094907240489	0.5686576597497544	-0.8143677045994251	t-test	-0.21470882457289517	0.8324080838130032	0.07966371085068832	0.894528090067705	0.0484060171202463	no	no	39	1	ns	ns		-0.8143677045994251
40:1	0.5460262780422438	0.36987251364283497	0.35394619739549105	0.09644627760023905	0.6773895845617516	-0.5619422905421984	t-test	-1.4957314682987664	0.15205083816188217	0.818011181517369	0.43790641390622065	0.35861869375813815	no	no	40	1	ns	ns		-0.5619422905421984
40:2	0.3142903374103992	0.21037015448239782	0.15741687617692215	0.0475138563136518	0.6693497363480737	-0.579167876465252	t-test	-2.21378454386017	0.03999350628899281	1.3980105189670484	0.3986058814574622	0.399456297543015	yes	no	40	2	*	ns	*	-0.579167876465252
40:3	0.018210390153354676	0.013412921153351411	0.017535727326092588	0.009280191721974413	0.7365532006946327	-0.4411383610636202	t-test	0.19572464397019992	0.8470182419111721	0.07210723633275191	0.8968428443765353	0.047283652607719745	no	no	40	3	ns	ns		-0.4411383610636202
40:4	0.04395752737157403	0.030632926715621442	0.03344198810441737	0.02207899375329766	0.6968755648305824	-0.5210270256354702	t-test	-1.0497427241831694	0.30772703302694415	0.5118343504254743	0.5196904532249144	0.28425526114485594	no	no	40	4	ns	ns		-0.5210270256354702
40:5	0.22761086682451379	0.16315822616939563	0.1459695853678721	0.0756708171373233	0.7168296858830969	-0.48029771029665785	t-test	-1.3165792426706304	0.20449806536191031	0.6893107962464738	0.4601206470642982	0.33712827813511137	no	no	40	5	ns	ns		-0.48029771029665785
40:6	0.5165848456329197	0.4046301035459038	0.25443338868193177	0.13054720017301907	0.7832790817743618	-0.35240166456774735	t-test	-1.2546461821319201	0.22565447062928778	0.646556057887699	0.47785652603849177	0.3207024784986857	no	no	40	6	ns	ns		-0.35240166456774735
40:7	0.0456338729103179	0.03378634663629464	0.016517002479663583	0.007674170154840671	0.7403786810445248	-0.4336647409999882	t-test	-1.990027425604159	0.06199780800863126	1.2076236651240773	0.3986058814574622	0.399456297543015	no	no	40	7	ns	ns		-0.4336647409999882
40:8	0.023468225830381304	0.01630614373099677	0.015134499856797294	0.008445686978980583	0.6948179146072173	-0.5252931431104988	t-test	-0.15669770462323493	0.8772272754416532	0.05688787335835009	0.9015456085385742	0.045012297742913064	no	no	40	8	ns	ns		-0.5252931431104988
41:1	0.20387645750493483	0.12730480471684733	0.1669637141784973	0.03866027406754327	0.6244213102131516	-0.6794083205212346	t-test	-1.418961712669697	0.17299464468617942	0.7619673409130534	0.4448433720501757	0.35179287582400415	no	no	41	1	ns	ns		-0.6794083205212346
41:2	0.12190365435935038	0.07501213676413808	0.08096278089945157	0.018103493237146717	0.6153395249580917	-0.7005454310829837	t-test	-1.9585180679250815	0.06584981071464038	1.1814454690804106	0.3986058814574622	0.399456297543015	no	no	41	2	ns	ns		-0.7005454310829837
