feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
FA 15:0	0.0020525911996750086	0.05872326660212945	6.092057337641437	0.2637116772164735	0.2591363768546126	4.289636377491076	1.6682093405641136	1.8017669209620981	1.74075153788019	2.903553960600572	0.2599731748043775	0.020216070695146058	2.4064515756669387	0.44677683474372576	0.33262073294532846	0.545689659603665	0.24213456263332728	0.2869539426267376	3.616313863598433	0.003218417766610589	2.153621925620396	4.9928104409661	0.013246027521354238	0.0116434901108793	0.05486127535877846	0.5131987940107604	0.5814930135099485	0.6072931855663849	3.4124011832161223	3.7054537787589057	0.07525630926562576	4.723933473008059	0.007661610135787708	0.13423388456609134
FA 16:0	0.013149620763753232	0.11481242256019754	6.924000604376264	0.13705580343742746	0.2859080129151419	3.8057073902113174	1.2963721757577757	0.9419484012276026	0.4753034015961305	2.03383658970343	0.5751258297898785	0.2648379558558407	2.909111701901268	1.501994754045864	0.5924600730090691	0.3021990490929781	0.012853198210221382	1.758729734960664	1.461589587558041	1.6473872929827147	6.495941784666394e-5	0.6415979317194205	1.1490894375408762	0.06512051838874093	6.959005358206142	8.038971305703093	1.5175880858485873	0.0030141140164418718	0.3847239471361329	0.1290788488790186	0.08853374681532453	0.05812795035516783	0.16384092654187757	0.03670274465653873
FA 18:0	0.005348535050094738	0.018170112281818498	2.185284488242758	0.013905893644459141	2.899309215069519	2.0181560902427385	1.2346460023642583	0.01087881364461383	0.021708949000741183	3.7097847642570736	0.5141385772927248	9.201293204603829	6.769321896221787	0.0035610701955001854	13.893116030540401	0.002073015577735871	0.5754873816733422	1.1018283848287165	6.309853529116468	0.18294274113020523	0.9523033745025038	0.3429980071048912	1.7802834169501915	11.095560825184725	0.11323749644964064	2.0300457725771457	3.4989461139448057	0.09898673741944135	4.371900832846102	12.586464900632558	0.3562295149067133	0.011727985602541206	3.8524823611360413	0.1306752047122757
FA 18:1	0.2242458739100312	0.6298644832204073	1.1954910481835104	0.5404117870064014	0.6836183618268391	2.7691130334959335	0.010953522911515167	2.5557626753110103	1.778951126730034	0.31488273243959547	1.6255440986358214	7.501031499607068	2.369646158720076	4.28698024309605	2.226907554998837	0.5084654709092632	4.104471480361357	0.19765232836647909	0.5547319808691289	9.474653781429405	2.5204033271882547	0.21206984606811388	5.416565009224058	0.7900896353252804	2.815883278864169	1.4884198953299443	10.759032196760021	2.6760525065227494	2.4380233552078945	7.854155639572377	5.282075376350413	0.01633035466850198	0.004925970588546675	0.13649127650284423
Hex2Cer 34:1;O2	0.7349880651776677	1.6558019537786468	0.013522876211721957	0.01837655755976898	0.0021679497352573686	1.7483906135897904	0.3778220658026066	2.2823708185068634	0.2996329368493219	1.8725437096236446	0.12954218624710712	0.003636230431000459	0.9799056500776879	0.5013504940094367	0.05248356436801568	3.0290723361376797	8.339420308531158	1.1568685481499692	0.4285522615914981	0.46872691674322	2.0192724806833056	5.275980177854328e-6	1.7412846765957395	2.9799869238028283	0.002373842740211967	0.9062920623023659	0.08009821628020472	0.031061539392748583	0.17483602980688917	0.07392770840199255	0.35875571564948333	1.6739260647345755	0.08912354802711342	0.8355568691759306
LPC 16:0	0.6364308515867764	0.9946246046480502	0.2717236490117376	0.21683912480004314	7.946771107898505e-4	0.7756618570476408	0.041233644597161986	1.0940272949785403e-4	0.9828224539479427	0.46174103956222456	0.4950359992058617	5.01412287759248	23.40677791006264	0.14995958227130968	0.7639521228337337	0.013259187632177287	0.20009788032636103	0.0034493807237306827	0.20469062659411807	0.019223262582721723	0.7393593150009474	0.2923071032205102	0.08243414395251562	0.20486396110739477	4.313363707741021	0.1724991369743028	0.08162569611363046	0.7449349700104639	2.310419931781013	2.259448781926278	0.1120508730463843	0.5854052094063797	9.411121926802833e-4	0.07413621189927778
LPC 18:0	1.492577351290758	0.3498553407679803	0.04004380227393378	0.712737111568783	0.02286390264481253	2.924785997391996	0.004807076744695463	0.7509839115179889	1.8390541712672392	0.0198399521900101	1.193497158587543	0.9499385401333388	0.22064198143354566	0.0025590785859711455	0.047747719334283706	0.0638815472825444	0.4000256127857015	0.0016573947607001769	0.010689375738043731	9.745413755104455e-4	0.01626502736256636	0.007198629926415603	0.024772013561623243	0.026438717920581407	0.0011915344281759473	0.13311295182795757	0.030500709630894622	0.002318968873187724	0.024530829479073438	0.005530098558657299	0.2788934849763277	0.026112541640310488	0.00810436651401733	0.12783644444183564
LPC 18:1	1.3105573093324685	1.1918401408207273	0.23618713080313572	0.038727354776371195	0.046022500173916764	1.238765476557418	0.035706670437464186	0.8993185962815828	0.1111757853767092	0.679251144527455	0.3600865414932025	0.29619018344930914	0.09217201400786679	0.09584672621232251	0.014702694293143654	0.4772280098910024	0.8430579343950919	2.107159901127783	0.6238700046190051	1.1788793032627698	2.350585838893524	0.024452212975209688	0.8961566221611782	0.7806853062513983	0.37360843592000503	0.5068519405751618	0.3591382837058592	4.7613200773833e-4	0.07265064292420324	0.20273033835431353	0.06673576934926595	0.38868858264835837	0.05160559073901939	0.09835557158168955
LPC 18:2	0.7433355255289084	0.37648874599777093	2.283358446716598e-5	0.12678395039835988	9.628129471244701	0.05970088683831175	2.290127202932936	0.06876982376504333	0.01866854595767763	0.013348357810347957	0.008707712617308691	0.02185212339835609	0.02481443447467357	0.0022117879139434307	0.22597498564212304	4.081404921858433e-5	0.021529983973606736	0.09210067104384496	0.01729570174820782	0.015785350209816078	0.018630432615149944	0.004095099965509784	0.03748500207095395	0.008452774610832952	0.019292836944368758	0.0852500594186834	0.1262122554341377	0.0328717103219551	0.02964054998665965	0.019064512740593387	0.07457945513078523	0.029124938487840833	0.0033018533756965563	1.9246583683420657
LPC 20:4	0.5127092068202972	2.081177229784593	0.7792264598148005	1.6312531931112377	3.3355188235720075	0.054808609784737866	0.3621360959643298	0.007817879696126084	0.1900963217524999	0.07602223588222383	0.2101075367186898	0.06076750681089934	0.04916600971175021	0.012301379564587196	0.08078185715949834	0.015495256483821494	0.006243396186364788	0.04836624831765177	0.005966260540392671	0.010306125145171357	0.05133450803729293	7.777651748736429e-4	0.05029246670384708	9.897898801389728e-4	0.008667805130058954	0.16882057651534926	0.2820401543476594	0.080727512006773125	0.01698431682707361	6.515629613134946e-4	0.24957541862733285	0.07200547528910382	0.013085246026254667	2.99371775226363
