"","KT-522D0","KT-193D0","KT-705D0","KT-974D0","BS-082D0","KT-539D0","KT-538D0","KT-695D0","KT-434D0","KT-880D0","KT-663D0","KT-537D0","KT-612D0","KT-723D0","KT-515D0","BS-671D0","KT-525D0","BS-351D0","KT-352D0","JV-148D0","KT-347D0","BS-064D0","JV-157D0","KT-417D0","JV-071D0","KT-716D0","KT-805D0","BS-364D0","KT-412D0","KT-926D0","KT-445D0","BS-346D0","KT-312D0","KT-313D0","JV-138D0","JV-035D0","BS-336D0","BS-377D0","JV-048D0","KT-718D0","KT-771D0","KT-247D0","KT-565D0"
"BS-336D0",0.83536609149738,0.811032835736003,0.862766806498699,0.945011686592595,0.956972051824722,0.897084547234253,0.872478569910886,0.959219065511244,0.827313586884774,0.863407652775788,0.901782231706356,0.952516396951988,0.881136191149114,0.927822400416837,0.937075631096893,0.945255868725363,0.851361568834535,0.833546358485307,0.933772986535573,0.913151230752613,0.915284241102739,0.850333339349351,0.78645516107803,0.86947338108129,0.811670777166317,0.919554266070333,0.860143238195122,0.947814685581221,0.958255823722141,0.878710687876988,0.893361096696721,0.942351543440722,0.887355045866217,0.955777251059844,0.890492421060212,0.808634418875984,1,0.908786510485516,0.934876729348835,0.792789549181075,0.899904287848607,0.841384379984545,0.800687079046522
"BS-082D0",0.852052542261342,0.872567874495,0.905942747763584,0.96688189351145,1,0.901793000832327,0.898558638583697,0.947836157666722,0.848407566904559,0.884342352461271,0.871971508650655,0.932861681927528,0.877572819171762,0.916457640895956,0.920130096281018,0.921574922221136,0.902971841798381,0.878519758657648,0.953494791433805,0.922972141833696,0.93000174027232,0.898561943255859,0.846148768677324,0.922829051396447,0.860337776821545,0.936914934489529,0.910019382352647,0.941358432161349,0.934535471617089,0.910959294567208,0.901889011585533,0.889303598274625,0.919489465883384,0.929854512500634,0.902683808674561,0.87462533416536,0.956972051824722,0.934371043330593,0.941325076426802,0.856821393535751,0.913949846147658,0.876021998760414,0.855666700670271
"JV-071D0",0.836375201433251,0.926138170662762,0.915402525082809,0.831813640425925,0.860337776821545,0.752954589781214,0.836040144620394,0.801134130428605,0.860516540967325,0.879646437254538,0.752640327454801,0.847999975997312,0.813328292784695,0.825911890903072,0.826923019316494,0.821535082733559,0.903652631026729,0.840268110028323,0.87997419703662,0.90295054818094,0.885830185488325,0.876926215736162,0.899965496036095,0.924421988747449,1,0.890442400880109,0.89107181972628,0.849793726282347,0.752737823076674,0.938361096442802,0.786828485279348,0.793104069045596,0.880595984966324,0.831508107065152,0.878065611757994,0.930026162930248,0.811670777166317,0.873542216105487,0.865274698273539,0.870913542316739,0.892995052437516,0.848382199453823,0.844304029142976
"KT-718D0",0.869292184389522,0.961901961625248,0.937298977485478,0.830370457141485,0.856821393535751,0.799207908913122,0.822988643697729,0.832925786469193,0.84998829863454,0.833200817332646,0.709083926457941,0.808512553405981,0.831189561167789,0.765316195242905,0.783783540597843,0.800340836143039,0.945534573096647,0.881954778935241,0.876793831294545,0.871041782946068,0.844473181289141,0.940047285295953,0.900913605068637,0.893272686920894,0.870913542316739,0.857099566454,0.92369176674119,0.791380008704563,0.780080049459879,0.831546133166915,0.830825544941407,0.740436486280875,0.902510373634788,0.776151242809998,0.878848704162912,0.869167346742835,0.792789549181075,0.901172227776883,0.839717605864322,1,0.873699717701231,0.887150006664709,0.877475644849238
"KT-705D0",0.924009805223859,0.969624780244161,1,0.887416702021004,0.905942747763584,0.855194347353795,0.883937652834054,0.880097211183247,0.855998007780328,0.883822942611855,0.808027195430419,0.875462051749796,0.881835993270364,0.864886840726084,0.872336786870083,0.856506789735131,0.945285543711175,0.885405165378522,0.914853208123051,0.903394600579131,0.886577275886293,0.945429888147473,0.933695374972324,0.946486327567761,0.915402525082809,0.925429424387969,0.947412636967448,0.853148112036724,0.83991010940803,0.900277831117085,0.85308510479089,0.83334433451446,0.943578850098907,0.876663706362717,0.939176822882007,0.89967476357352,0.862766806498699,0.947929324300615,0.932524835542873,0.937298977485478,0.946698550562964,0.928525137183873,0.884784441508106
"KT-612D0",0.818508317145867,0.831658630877739,0.881835993270364,0.887279993759114,0.877572819171762,0.868360886977837,0.919640553338157,0.912739656221035,0.818538865702294,0.821577734586694,0.927377905533043,0.90671515292644,1,0.9486957147915,0.942670859262015,0.890579760347399,0.818706888049273,0.856863821801778,0.867889825739842,0.869269612893725,0.878021410927693,0.880074769594759,0.832068168921877,0.882124737287744,0.813328292784695,0.920315641099614,0.913354216189844,0.895070359211151,0.915397747937554,0.839668638011502,0.920765699607253,0.942576051910144,0.888116126543584,0.902867498586367,0.944453612368701,0.793630791199777,0.881136191149114,0.916715672891965,0.894517654417104,0.831189561167789,0.902918796972643,0.870171953905509,0.724703863396478
"KT-565D0",0.897840945296197,0.902870995716622,0.884784441508106,0.830508983248482,0.855666700670271,0.839938073079306,0.78937641017215,0.793972924981891,0.861240042639788,0.888218809883526,0.666788681505485,0.789014002529827,0.724703863396478,0.736264296892104,0.756675827925259,0.817986252587698,0.924442310903198,0.867778587869983,0.882626854223562,0.865167494296888,0.860075488969631,0.874847358365999,0.895912342198455,0.867185320091872,0.844304029142976,0.828899836796643,0.844473647951268,0.765811770932131,0.741121228971351,0.844550055959901,0.813487110571028,0.709105037822087,0.84624870236245,0.764516506583315,0.796135555621144,0.872390090523793,0.800687079046522,0.874634711279396,0.825631424567552,0.877475644849238,0.860417529330418,0.860456115286763,1
"KT-525D0",0.903960803026053,0.944001728261541,0.945285543711175,0.8817332705607,0.902971841798381,0.834959030046393,0.849516791535599,0.859237967797971,0.877770843584604,0.877299417029911,0.737522877987416,0.852859637452573,0.818706888049273,0.801730630206292,0.815250428339991,0.83600163224301,1,0.891321175914804,0.922356605153375,0.910645920094092,0.896783891558264,0.932765066294614,0.906838727490108,0.928195958014135,0.903652631026729,0.894972291651318,0.917777557753965,0.838508459527377,0.813106825246331,0.886154566254771,0.828454242967128,0.779961355728005,0.921291948611407,0.831237060832872,0.874272409778812,0.9049487839728,0.851361568834535,0.922681108364835,0.893501474691307,0.945534573096647,0.92377531946973,0.884977047032046,0.924442310903198
"KT-522D0",1,0.910238677550332,0.924009805223859,0.839691198018047,0.852052542261342,0.865409310770115,0.830253951504933,0.82375514565289,0.815077514848054,0.873041495394401,0.76960235711696,0.821493400734763,0.818508317145867,0.801526007551456,0.81101629823116,0.840402646398892,0.903960803026053,0.866678868178154,0.883786589553015,0.852192228416844,0.841564403372438,0.878866342863085,0.913337253835918,0.885137790945548,0.836375201433251,0.869216782896727,0.875774850730595,0.790135976875357,0.805899349220978,0.837614351370443,0.848718241077172,0.796525600533681,0.905644866159421,0.850139068499937,0.874596073705297,0.852130107777557,0.83536609149738,0.90710303822383,0.893108104053527,0.869292184389522,0.898487803414444,0.922670715209275,0.897840945296197
"KT-434D0",0.815077514848054,0.864054774196929,0.855998007780328,0.863844891405547,0.848407566904559,0.830890537758808,0.835970152392202,0.837536341901139,1,0.868763332947194,0.769636052700706,0.863486891468738,0.818538865702294,0.82290144592564,0.849526987123698,0.84217632380891,0.877770843584604,0.840741207477617,0.88380794076481,0.908299629154015,0.901314466941358,0.880834938538604,0.824646782264365,0.856025874959636,0.860516540967325,0.845325284363212,0.842230963336134,0.840347682073313,0.803292608283427,0.830888044804245,0.839267551377494,0.817093514532465,0.81082524493601,0.787971436300904,0.832033172113342,0.837023768819789,0.827313586884774,0.867159723403315,0.81540455638233,0.84998829863454,0.841048813203062,0.796471541314709,0.861240042639788
"KT-417D0",0.885137790945548,0.936345634563456,0.946486327567761,0.914036598630004,0.922829051396447,0.848642502067099,0.888228816977028,0.883740327731518,0.856025874959636,0.855386369528738,0.807935336500608,0.886557975161327,0.882124737287744,0.876742085985749,0.879838460647766,0.866654665466547,0.928195958014135,0.916441142777632,0.928013153471317,0.888369497447684,0.913179015689549,0.910092469818184,0.936234049549323,1,0.924421988747449,0.95047360166108,0.968355360975465,0.895447603825087,0.834915510597308,0.949576655142539,0.87570545192973,0.843420342034203,0.962787167082543,0.895083620012182,0.920035043991177,0.944146079501423,0.86947338108129,0.961100993406646,0.930412997599407,0.893272686920894,0.949357176182076,0.923022916853736,0.867185320091872
"KT-352D0",0.883786589553015,0.912399451577178,0.914853208123051,0.940232230257639,0.953494791433805,0.899503141370682,0.882956188830282,0.920550624973747,0.88380794076481,0.8858448447767,0.823160541422103,0.942621401465411,0.867889825739842,0.888469501099121,0.906747877289342,0.9159998440201,0.922356605153375,0.895473979511674,1,0.930298566130689,0.950634878742078,0.903985958389283,0.862763806129123,0.928013153471317,0.87997419703662,0.936746536091259,0.918536898591961,0.912779708005545,0.894897282575219,0.918447621480604,0.902800530462595,0.868546671622387,0.931700350456024,0.899502236820511,0.91084421215377,0.90705231101985,0.933772986535573,0.943584681501315,0.943917045730663,0.876793831294545,0.929104208938634,0.902244585098853,0.882626854223562
"KT-347D0",0.841564403372438,0.872548343157636,0.886577275886293,0.929376395206479,0.93000174027232,0.865799359136119,0.918317871432589,0.920424132609013,0.901314466941358,0.915148969366018,0.855644800762352,0.955411604842885,0.878021410927693,0.907332397222356,0.92340258276788,0.920835896231673,0.896783891558264,0.858253848750462,0.950634878742078,0.953821135288474,1,0.878848340684821,0.836854770006546,0.913179015689549,0.885830185488325,0.930907432538393,0.890500765099463,0.921972324584846,0.883474201227532,0.915407764376568,0.884275650196543,0.902155748012526,0.896409776418167,0.873182133227649,0.887257681729573,0.907855850594695,0.915284241102739,0.921210702929281,0.919796573554562,0.844473181289141,0.932161180953524,0.842010987465122,0.860075488969631
"KT-312D0",0.905644866159421,0.929861775767089,0.943578850098907,0.899298513161336,0.919489465883384,0.842128318386819,0.887121357608022,0.88969564592836,0.81082524493601,0.821448931033013,0.808303804851332,0.883098257714065,0.888116126543584,0.872358172554736,0.876315663284228,0.855190084582561,0.921291948611407,0.876155500953547,0.931700350456024,0.866139606089783,0.896409776418167,0.884640425810395,0.896530411422219,0.962787167082543,0.880595984966324,0.954454898965866,0.96083337840784,0.87069151746563,0.85940083113039,0.926068941518793,0.86643104029211,0.849783527707178,1,0.918603151084637,0.930340989251447,0.925501879709054,0.887355045866217,0.961793950158717,0.958535107211674,0.902510373634788,0.94985808332223,0.932878878449254,0.84624870236245
