"","BS-671D0","KT-974D0","KT-880D0","KT-805D0","KT-771D0","KT-723D0","KT-716D0","KT-695D0","KT-663D0","KT-539D0","KT-538D0","KT-537D0","KT-445D0","KT-412D0","KT-313D0","JV-138D0","BS-377D0","BS-364D0","BS-351D0","BS-346D0","BS-336D0","BS-082D0","JV-071D0","KT-718D0","KT-705D0","KT-612D0","KT-565D0","KT-525D0","KT-522D0","KT-434D0","KT-417D0","KT-352D0","KT-347D0","KT-312D0","KT-247D0","KT-193D0","JV-157D0","JV-148D0","KT-926D0","KT-515D0","JV-048D0","BS-064D0","JV-035D0"
"SM 38:1;O2",0.0701457336271863,-1.85985199632627,0.105216798647763,1.28018584448917,1.41404017923263,0.0238579476019693,0.646199506299127,-0.146647060255029,0.741352978879853,1.4754101244355,0.227811701975802,-0.734645203296946,0.0630762415835797,1.04029484295905,-0.515224897575414,2.02076229667352,0.699788373144559,0.367270210481,0.4787039224155,1.32923361305628,-0.0342287570517333,-1.12347242362552,-0.458758355408474,-0.627268051645136,0.538670819190385,0.765986517593671,0.0771966705522333,-0.636436679747292,-0.390851917025142,-2.65449393674137,-0.27198316344397,-0.345142446608984,-0.768195751749081,-0.304252685706761,0.970514155336041,0.309770634105504,-0.841532574154561,-1.56525027016759,-1.91102317065567,-0.654868350173918,-0.0159413792414813,1.79646846087178,-0.581888502551766
"SM 39:1;O2",0.0621118556694123,-0.518002189420129,0.0529284558908804,0.221060052565311,0.667636752934874,0.508547245021869,0.491573247571129,0.173787067090484,0.865862515941272,0.842825818838018,0.181837697024771,-0.389546755390983,0.280511298518026,0.648599802146526,0.401624557691583,0.986452666134392,0.243809955989613,0.228706461928253,0.29478878566495,0.873414134019662,0.444704482667646,0.0891209329694604,0.0436518220337388,0.106693408898999,0.508547245021869,0.562952633021421,-0.0240636399154091,-0.153277207642162,-4.14581905157193,-4.14581905157193,-0.0546946842039657,0.221060052565311,-0.188652228712951,0.0248111424493726,0.287677928092248,0.106693408898999,-0.345678783288349,-0.435627473167895,-0.225452124936829,0.221060052565311,-0.0341603237146221,0.588986889422934,-0.571244855711184
"SM 40:1;O2",0.0610416599070735,-1.41099592603549,-0.382354421857185,0.96827377102602,1.60835179930025,-0.302991914579674,0.375886137231551,0.113854697591536,1.11663773973919,1.31063122215979,0.0903669265236072,-1.07807134575261,0.415158470992315,0.754820349340862,-0.672581429441032,2.03430542867463,0.963399611509624,0.651863862642113,1.15396207997473,1.25487947305192,0.0427123559370994,-0.429851542212268,-0.646274782157164,-1.04491744164382,0.0722541732345914,0.51421019426486,0.50130836249997,-0.538382475897309,-0.718339029495994,-2.50324221958474,-0.280315604998168,-0.293248060760998,-0.431564831558269,-0.704905507557338,0.597038301827761,0.0525988347386543,-0.409383990583795,-1.54433107096604,-1.80466583956701,-0.720264066243422,-0.483522534118003,2.24773544342621,-0.501086860584055
"SM 41:1;O2",-0.0185899360453039,-1.53399626715726,-0.309085578670786,0.43219329794764,1.46158238295662,0.0128835656462167,0.396688330660917,-0.0896907090814542,1.51540590036251,1.24976789572131,0.122123778153853,-1.21438680123106,0.406899346686796,0.900733441303264,0.0713067511018319,2.07240711406541,0.553923099961437,0.780743945304976,1.39556126262957,1.23489661875469,0.419587706695201,-0.357632274206573,-0.879819095771748,-0.971132001587346,0.211483977155782,1.05783578516272,-0.0700387062918323,-0.668799076700591,-1.11114639108304,-2.50727856752894,-0.458545135057356,-0.173795814346569,-0.47454878997492,-0.691139560046723,0.16876086003079,-0.0635322008633972,-0.802122991123203,-1.38681974655682,-1.05066710741291,-0.357632274206573,-0.598997166328866,2.22435236490826,-0.899741233936544
"SM 41:2;O2",0.207271901220905,-1.51058742961709,-0.0829630386210976,0.534706664977967,1.2129055426532,0.769737836210903,0.583129651173892,0.0191616563706842,1.35725840858532,1.84859441779899,-0.203859487254603,-1.30773997780185,0.0760726902360487,1.1432199080059,0.781043530359977,1.84859441779899,0.320222071581446,0.0334856219731676,-0.0978249954825703,1.34783699985434,0.769737836210903,-0.329557032204658,-0.579602035938139,0.0047725816099441,0.571093169003579,1.44539044351466,-0.031488880143705,-0.527987995840921,-1.71488999108653,-2.90666400114061,-0.273949235993803,0.193714745609174,-0.712443526800167,-0.804206212549832,-0.0387912847589694,-0.068170530409514,-1.2859832530054,-0.851104714730286,-0.562303681434454,-0.068170530409514,-0.841669265130947,1.06165427497018,-1.32964726936553
"SM 42:1;O2",0.0920109757702807,-0.634972102702703,-0.665684311959483,0.69430309504042,1.44435719800504,-0.251309966108646,0.362013542609521,0.017251875218535,0.424440922610755,0.918982622339043,-0.0448305027121781,-0.720001350825301,0.534693158462534,0.876714572187183,-0.126291518079253,2.01575823293953,0.464653759954375,0.956599970470441,1.78805097399331,1.08276733171338,0.169771222722584,-0.837489578512978,-1.28714908344121,-1.56177782922423,0.0920109757702807,0.874727856860163,0.641690086791142,-0.0188669786558643,-0.901086387352693,-2.33378609863116,-0.339559375363486,-0.299303069149559,-0.393249079489886,-0.833019467685403,-0.00374224348369296,-0.35552332179712,-0.0356303797566287,-0.912647465711281,-1.85209230657907,-0.472667939237215,-0.378797711202735,2.7051593296791,-0.896479635475834
"TG 51:1",-1.20677672941979,-0.577747787841323,0.616136620901188,1.08918700532849,0.852367102197693,-1.58384606696587,-0.314319315714258,-1.0217187789806,-1.09355480645344,-0.238093212007517,-0.53794339803738,-1.83462724346365,-0.424607034901051,-1.56432835785001,-1.11862742546539,0.506571259595265,0.680516913412977,0.386362488628806,1.38911918596319,-1.52014130212898,-1.41994354084849,-0.168715945058896,1.16009724298576,0.930665693922929,0.296041155919142,-0.987552024584275,1.65274155726504,1.32025906254574,0.303777996002688,-0.413696935845059,0.848427299317974,0.129372055429548,-0.0891414017955561,-0.0392357720294158,1.03985732258556,0.84711076214179,1.36032886531653,-0.437849536434211,0.507479879518708,-1.30799641365646,-0.575215620844265,1.00469847896773,1.55456070237913
"TG 51:2",-1.37819215647517,-0.437299258186383,0.378052388746114,1.31982859515033,0.563857485580238,-1.13195261423361,0.139440855199266,-1.41674539134339,-1.78641211333789,-0.439600106055028,-0.238140689056461,-1.49816444515545,-0.589930347266959,-1.85105749086567,-0.913058864316449,0.85018436651493,0.494244812500236,0.0546696875564272,1.33183586718755,-1.26027465016943,-1.04868137489312,0.0173222962623794,1.00654798367283,0.866440084415763,0.627578458799605,-1.20806094130245,1.61278112349968,1.09263299154357,-0.361806433967676,-0.035597637886743,0.778091483124696,0.246869890538041,-0.165798066148197,-0.12008744794836,0.91984314957689,1.08460939699813,1.38254854663968,-0.334259170349598,0.752710167391215,-1.45090320335925,-0.48186125688198,1.21924061185597,1.40855341644572
"TG 52:1",-3.20389211212586,-0.113546719680219,0.30695301444098,0.972380717836628,0.474945682878815,-0.186937089238285,0.598817409479033,-0.608468636788478,-3.20389211212586,-0.226972720402321,0.0539463288406632,-0.560905046939979,-0.323171290432412,-3.20389211212586,-0.381502663603729,0.410756475791403,0.176110122413124,0.00273994167421589,0.661829818778766,-0.505938988766051,-0.292036311160665,0.125948397472935,0.886813990115816,0.513746203869911,0.513746203869911,-0.426604062238159,0.897988809147856,0.686108348951066,-0.247949204420208,-0.0852431217317339,0.781015424992724,0.198024274764647,0.309986481575805,0.408157223879795,0.493491919514341,0.871610723621031,0.90411547999615,0.25310618778948,0.691195619718925,-0.25509365798697,0.00273994167421589,0.67408178908906,0.955689317589488
"TG 54:2",-1.01435791992225,-0.643500341052519,0.32825106368339,1.282179159279,0.95737436653178,-0.949294511790458,0.315832230882788,-1.49704273698524,-2.02505557087781,-0.253893585496733,-0.418702738921547,-0.857547719667972,-0.961974004009074,-1.39624552992792,-1.63061997227414,0.817099128533006,0.841971090462975,0.0248317482037003,0.734152549162826,-1.09116596127906,-0.950870712378292,-1.60003066772112,1.38766079610582,0.169033905622136,0.838000956798421,-1.41862381389439,1.55140556893796,1.18458128998596,-0.101494163630469,-0.0860540571039007,0.917997874122645,0.187968568289977,0.333526718966407,0.345296477952207,1.08789055627373,1.11098301397589,1.23813241831012,-0.159276257888603,0.378542346874678,-1.09662337165998,-0.123379180692867,1.05958673613594,1.18345425208298
"TG 54:3",-1.06677605810545,0.00363389475242823,0.279381359324495,1.18092577292967,0.530284283495792,-0.771230389343152,0.713609677287026,-1.04566999112749,-2.22657292416335,0.181417293946959,-0.653316175937915,-0.783960133249678,-1.39162698844044,-1.25286897815414,-1.15678349134614,0.016900283324457,0.81481283207853,-0.72930396473563,0.282363327673255,-1.90025358218687,-1.48473584072156,0.185590609574502,0.989606554863976,0.0952546389256738,1.25911882479793,-1.47324516391478,1.49181216705752,1.29731222819824,-0.356136785372713,-0.133162503001692,1.22216016200254,0.75156448877171,0.657690303579689,0.587506003372741,0.679557029743907,1.21260420073149,0.676265066149905,-0.978831236014727,0.622811249963328,-0.820637497939878,0.382046245983721,0.559369988166229,1.5515132170599
