"feature","BS-064D60","JV-035D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"LPC 16:0","3.27157","3.25801","3.13109","3.11929","2.95839","3.17112","3.39419","3.25116","3.23702","3.22695","3.01922","3.18213","3.20256","2.74848","3.0966","3.08968","3.42514","3.34113","3.19088","3.38165","3.4146","3.6031","3.34646","3.23464","3.03584","3.07895","3.16153","3.41864","3.40918","3.12024","3.16514","3.24156","3.069","3.28798","3.462","3.31998","3.39288","3.2092","3.20112","3.23239","3.16235"
"LPC 16:1","1.33143","1.40123","1.32015","1.37658","1.39111","1.31827","1.6583","1.44778","1.56549","1.61972","1.09412","1.55096","1.53007","1.02202","1.1176","1.36698","1.61731","1.45179","1.69346","1.71332","1.72329","1.71122","1.82373","1.27277","1.30081","1.33646","1.43313","1.85412","1.67788","1.52982","1.25455","1.22634","1.34967","1.45712","1.73687","1.62613","1.69958","1.44358","-0.43592","1.52789","1.30384"
"LPC 17:0","-0.71607","1.08063","1.22453","0.9489","1.32797","-0.79404","1.26411","1.03463","1.21985","-0.51781","-0.36955","-0.74417","-0.50147","-0.47785","-0.75392","0.99739","1.49941","1.22531","1.02078","1.30707","1.17638","1.17638","1.08778","0.86806","0.89542","-0.35024","-0.43256","1.63679","1.26553","-0.85272","-0.64814","-0.58828","1.19838","-0.12119","1.50786","1.27692","1.31091","0.85187","-0.42016","1.1427","1.00945"
"LPC 18:0","2.83347","2.90821","2.75571","2.70935","2.54244","2.76828","2.97964","2.89385","2.85967","2.83113","2.67006","2.77368","2.6793","2.36609","2.61015","2.72366","2.86367","2.8815","2.85392","2.88715","2.70734","3.13066","2.88716","2.78924","2.72934","2.6932","2.72194","2.93852","2.72531","2.67471","2.70207","2.84104","2.72537","2.83235","3.01315","2.87512","2.91047","2.68423","2.48386","2.73927","2.75034"
"LPC 18:1","2.67066","2.59294","2.42261","2.43438","2.44408","2.44649","2.79196","2.59214","2.604","2.65281","2.44118","2.56403","2.63183","2.05808","2.34665","2.4346","2.76982","2.56204","2.60254","2.61491","2.71286","2.69225","2.66045","2.58092","2.37083","2.39243","2.49679","2.90078","2.68099","2.66336","2.5847","2.67298","2.46322","2.55258","2.73162","2.62678","2.7174","2.52269","2.2663","2.62687","2.41281"
"LPC 18:2","2.79472","2.88741","2.56847","2.60827","2.43049","2.5293","2.84001","2.667","2.5673","2.6671","2.54696","2.70551","2.74711","1.99752","2.48581","2.52587","2.65159","2.60067","2.65056","2.49073","2.62127","2.73221","2.64792","2.52433","2.46082","2.51322","2.28791","2.91509","2.62211","2.79006","2.68106","2.83064","2.50768","2.67993","2.66614","2.56043","2.5936","2.57192","1.9135","2.79303","2.44753"
"LPC 18:3","2.02702","1.87564","1.91243","1.82789","1.55703","1.96313","2.08647","1.96544","2.08171","2.03366","1.74028","1.97488","1.97142","1.58252","1.87674","1.91587","2.07976","2.07173","1.83715","2.06509","2.0834","2.15152","2.05212","1.93651","1.88502","1.98127","1.94694","2.04036","2.03318","1.77757","1.95756","1.92531","1.86859","2.1214","2.12681","1.9834","2.06405","1.82033","1.98087","1.88047","1.95703"
"LPC 20:3","1.54083","1.7972","1.55739","1.39111","1.53782","1.64709","1.89675","1.92629","1.96572","1.65147","1.58501","1.84255","1.66011","1.15412","1.41664","1.62469","1.86947","1.47129","1.92747","1.80154","1.72925","1.74819","1.86876","1.59682","1.64699","1.7626","1.79421","2.08037","1.59017","1.67651","1.67834","1.69801","1.58794","1.58715","1.91735","1.59572","1.9014","1.78618","1.58524","1.94245","1.52543"
"LPC 20:4","2.26319","2.12717","2.07339","2.17263","2.08785","2.08721","2.30272","2.1815","2.157","1.98232","1.96014","2.0717","2.02653","1.60627","1.93293","1.96038","2.31513","2.30062","2.17866","2.39785","2.19098","2.24494","2.07372","1.86332","2.085","2.04399","1.9119","2.43981","2.14386","2.26076","2.14854","2.2354","1.98502","2.24606","2.12946","2.15354","2.47992","2.11227","1.9135","2.30991","1.94131"
"LPC 22:5","0.89487","1.31869","0.92531","0.96095","0.89982","1.09864","1.00217","1.0693","1.04999","-0.52224","-0.31019","1.16702","-0.57126","-0.87036","-0.54157","1.00346","1.20085","0.93247","1.31197","1.20817","0.80618","1.1685","-0.43225","0.68664","1.0799","0.97955","1.06856","1.50024","0.91698","-0.67632","0.92942","-0.98683","0.88818","-0.22954","0.94448","0.85612","1.4615","1.14799","1.0406","1.11059","0.82478"
"LPC 22:6","1.58512","1.76908","1.39182","1.49872","1.60021","1.32531","1.71617","1.51481","1.75189","1.24452","1.40209","1.21325","1.29907","1.0216","1.12418","1.3865","1.5339","1.57183","1.57461","1.76403","1.69504","1.56241","1.23249","1.27091","1.50284","1.43393","1.35372","1.86953","1.46","1.55955","1.44685","1.41581","1.41481","1.33385","1.5293","1.39129","1.56348","1.43917","1.46075","1.45834","1.28466"
"LPC O-16:0","1.31973","1.2492","1.1116","1.25983","0.99651","1.12743","1.26387","1.64276","1.4621","-0.37309","-0.31415","0.97543","-0.1875","-0.53909","1.11126","1.06221","1.35392","1.27091","1.08955","1.42927","1.40739","1.72444","1.32366","1.40466","0.88309","-0.6467","1.21325","1.27068","1.33486","-0.71727","0.93298","1.25139","1.10687","-0.28537","1.38256","1.44685","1.41514","0.94743","1.05729","1.17696","1.18498"
"PC 30:0","-0.56472","0.10721","-0.69762","-0.86742","-0.25181","-0.70581","0.65896","-0.04576","0.27416","0.13354","-0.47881","-0.33724","0.15836","-0.55315","-0.86529","-0.77393","0.3075","-0.05552","-0.1549","0.26951","-1.05862","-0.16115","0.06446","-0.18709","0.0086","0.19866","-0.04096","0.25042","0.00432","-0.23657","-0.87044","-0.58928","-0.23657","-0.10415","-0.07058","-0.11919","0.36922","-0.31876","0.53782","0.27416","-0.3098"
"PC 32:0","1.03342","1.08099","0.96379","0.87506","0.92634","0.79865","1.1682","1.00604","0.98046","1.01578","0.72263","0.86982","0.92117","0.62634","0.81624","0.7796","1.11428","1.08386","0.91381","1.11294","1.07078","1.17898","0.98272","0.89927","0.88024","1.04805","0.90091","1.23223","0.99826","0.92324","0.95617","0.94596","0.98811","1.00346","0.85733","0.78462","1.15045","0.94498","1.26741","1.10175","0.90309"
"PC 32:1","0.55388","0.72263","0.4609","0.54531","0.72754","0.43775","1.19368","0.80277","0.92942","1.19479","0.4456","0.96567","1.06893","0.53529","0.42975","0.54407","1.00475","0.75891","1.0306","1.0141","0.75815","0.88195","1.06032","0.64048","0.77887","1.07298","1.0249","1.11193","0.89098","0.79796","0.63649","0.56467","0.72754","0.75664","0.82737","0.76567","1.0461","0.81158","1.39724","1.08493","0.57749"
"PC 32:2","-0.62492","-0.16749","-0.69636","-0.4318","-0.48149","-0.73031","0.45025","-0.29243","-0.11351","0.23045","-0.84087","-0.25964","0.09342","-1.25861","-0.41348","-0.40894","0.26007","-0.04096","-0.10237","-0.08092","-0.3098","-0.22185","-0.0655","-0.284","-0.23657","-0.04096","-0.52008","-0.01773","-0.19382","-0.27572","-0.33724","-0.6416","-0.66844","-0.28137","-0.02228","-0.0655","-0.04576","-0.3279","0.15836","-0.02228","-0.79798"
"PC 34:1","2.16962","2.19432","2.1124","2.11069","2.06934","2.14597","2.45457","2.27779","2.1184","2.36267","1.86064","2.29254","2.28688","1.98762","2.05327","2.0937","2.36156","2.26677","2.29455","2.36101","2.30181","2.43592","2.30732","2.26005","2.17143","2.36393","2.21386","2.52276","2.30722","2.123","2.26475","2.25758","2.17295","2.2416","2.25684","2.2039","2.34278","2.35145","2.57962","2.38735","2.13947"
"PC 34:2","2.4115","2.49897","2.40533","2.41642","2.20241","2.24539","2.62613","2.47878","2.22209","2.5948","2.15616","2.40362","2.52715","2.02698","2.24689","2.34307","2.43788","2.50281","2.46449","2.23246","2.44739","2.58835","2.38598","2.38776","2.36752","2.37453","2.07573","2.67072","2.38317","2.37232","2.49547","2.38065","2.3373","2.31114","2.37698","2.22835","2.37367","2.44409","2.51411","2.53726","2.41159"
