"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"FA 14:0","0.40993","0.58995","0.37107","0.10721","0.34242","0.45179","0.50243","0.43933","0.80277","1.01326","0.4843","0.58546","0.27646","0.13033","-1.45176","0.40824","0.43616","0.34044","0.56348","0.18184","0.38382","0.54283","0.82737","0.46835","0.55388","0.48287","0.38382","0.7348","0.4456","0.44404","0.25527","0.38917","0.33445","0.935","0.49969","0.29667","0.24797","0.3075","0.44248","0.65992","0.29226","0.39794"
"FA 16:0","1.487","1.52153","1.66039","1.38828","1.71983","1.67311","1.73965","1.63899","2.02333","2.18769","1.86463","1.88144","1.62118","1.33082","1.48073","1.75959","1.68574","1.66134","1.5977","1.51654","1.74819","1.88925","2.28298","1.67979","1.90623","1.56656","1.66904","1.8697","1.83327","1.75136","1.39358","1.66801","1.76916","2.15293","1.94734","1.48671","1.58274","1.67997","1.75128","1.91228","1.6149","1.61669"
"FA 16:1","0.66932","0.82217","0.51455","0.40824","0.77743","0.83187","0.77452","0.73957","1.21854","1.68878","0.81158","1.02119","0.39445","0.13033","0.62428","0.78462","0.73078","0.51587","0.71684","0.25285","0.79657","1.09864","1.37236","0.84942","1.00432","0.50106","0.82802","1.21696","0.74429","0.78746","0.23045","0.65896","0.97727","1.50256","1.08884","0.07918","0.58433","0.72673","0.79588","1.17289","0.52504","0.62531"
"FA 18:0","1.04961","1.02653","1.25983","1.13672","1.24502","1.25455","1.27623","1.21958","1.64147","1.58501","1.37383","1.34616","1.19673","1.00647","1.05461","1.28285","1.16584","1.21511","1.22763","1.12418","1.40841","1.52789","1.51481","1.26553","1.44138","1.19396","1.30557","1.38507","1.37712","1.27761","1.1089","1.25696","1.344","1.32449","1.34947","1.10517","1.24822","1.32201","1.33766","1.20112","1.16406","1.22115"
"FA 18:1","1.63879","1.58737","1.72705","1.47958","1.97653","1.75868","2.00126","1.72123","2.28037","2.57785","2.08322","2.06435","1.80271","1.38399","1.66904","1.96741","1.78661","1.81968","1.71273","1.67237","1.82125","2.11227","2.60236","1.82367","2.06021","1.66521","1.8704","2.07918","2.07276","1.96218","1.56289","1.88835","1.96914","2.33738","2.21696","1.58024","1.79616","1.824","1.98182","1.92531","1.83225","1.84429"
"FA 18:2","1.06819","1.08314","1.45864","1.07151","1.54937","1.28375","1.62024","1.26505","1.79225","2.24428","1.71725","1.6766","1.41731","1.05154","1.0026","1.46835","1.38256","1.46568","1.17114","1.48416","1.20466","1.65801","2.07929","1.34792","1.62128","1.13418","1.31681","1.7209","1.70088","1.46716","1.26102","1.40637","1.40483","1.8604","1.79365","1.21272","1.36661","1.35774","1.56937","1.35372","1.41414","1.4612"
"FA 18:3","-0.6021","-0.34886","-0.74691","-0.78389","-0.63603","-0.50128","0.20952","-0.86689","0.2833","1.2003","0.22011","0.33244","-0.42707","-1.27662","-0.35663","-0.94597","-0.74883","-0.5792","-0.92374","0.06819","-0.5232","0.30103","0.82995","-1.1685","-0.31913","-0.6666","0.18469","0.83506","0.23805","0.12385","-1.06148","-0.57835","-0.53304","0.78032","0.57634","-0.49236","-0.64512","0.13033","-0.70982","-0.44149","-0.51625","-0.33592"
"PI 34:1","0.60531","0.56348","-0.55877","0.42325","-0.37634","-0.55491","-0.59709","0.77159","0.48001","0.71181","-0.54454","0.53529","0.60423","-0.71864","-0.67683","-0.93466","0.81491","0.50651","0.5302","0.4216","-0.42627","0.67394","0.75051","0.59988","0.66464","0.57978","0.67761","-0.56794","-0.90992","-0.96352","-1.00124","-1.43659","0.66087","0.52634","-1.11196","-0.64376","-0.90353","0.53782","-0.59382","1.11093","-1.027","-0.63889"
"PI 36:2","0.65031","0.67761","0.69723","0.70243","-0.67416","-0.80675","0.68931","0.79239","0.7007","0.8657","-0.687","0.69723","0.8293","0.36173","-0.25558","0.60638","0.97359","0.67117","0.63246","0.88309","-0.52466","0.59329","0.93752","0.64444","0.73878","0.60746","0.74273","-0.50168","0.64345","0.68215","0.39967","0.6464","0.61384","0.8848","-0.54008","0.57403","0.40824","0.64836","0.58659","0.95809","-0.41276","0.77815"
"PI 36:4","0.97543","0.84696","-0.59835","0.89487","-0.97389","-0.55061","0.65031","1.02531","0.60959","0.93902","0.47567","-0.92202","0.66181","-1.15841","0.83506","0.67669","0.63548","0.57519","0.67302","0.56937","-1.14806","0.83696","1.2188","0.60746","0.8202","0.62014","1.07262","-0.49466","-1.04768","0.55751","-0.84984","0.74429","0.98543","1.00087","0.75511","-0.97532","-0.66344","0.80754","-0.58581","1.29469","-0.80379","-0.52966"
"PI 38:3","0.91275","0.67943","0.03342","0.18469","-0.30911","0.20683","0.37107","0.90741","0.36173","0.60746","-0.61894","0.6721","0.38917","-0.09151","-0.45347","0.63347","0.48572","0.48572","-0.14267","0.4133","-0.86737","0.75664","0.67669","0.53782","0.48996","0.60097","0.66839","-0.6351","-0.21467","-0.7224","0.2014","0.26951","0.0086","0.69897","-0.53441","0.25527","-0.63833","0.27875","0.08991","0.68124","-0.284","0.59218"
"PI 38:4","1.68753","1.5084","1.60065","1.52492","1.40993","1.46894","1.62335","1.70544","1.64355","1.42521","1.4504","1.56122","1.49734","1.24674","1.30211","1.64128","1.613","1.47611","1.40037","1.67173","1.13704","1.6169","1.6468","1.28623","1.5027","1.55328","1.61215","1.04179","1.36286","1.62951","1.28103","1.51001","1.60638","1.71883","1.54851","1.44824","1.34928","1.5244","1.54925","1.75412","1.33082","1.54949"
