sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
yes	41:1	0.23721900515143726	0.2519372835663179	0.1381787019185797	0.062181261186762475	0.10079753913741518	0.027609758639888436	One-way ANOVA	12.679795679686087	6.397666157425225e-5	4.193978425985392	9.400652312951351e-5	4.026842009582637	yes	41	1	*	*	*	4.193978425985392
yes	41:2	0.1608247400904751	0.16408914992230278	0.09806970357014752	0.03581033662632394	0.049518676225541486	0.019834781190114326	One-way ANOVA	14.236710654985437	2.5973396035920923e-5	4.58547126241398	3.9789032225240564e-5	4.400236623918429	yes	41	2	*	*	*	4.58547126241398
yes	42:1	0.47382388017072674	0.5256818682581778	0.3270699864543958	0.10640353849552946	0.12809903708339435	0.07282762068378734	One-way ANOVA	11.984814212735882	9.70803319109896e-5	4.012868747514548	1.3705458622727945e-4	3.863106427181216	yes	42	1	*	*	*	4.012868747514548
no	42:2	1.457725085985452	1.6747497449624518	1.3713094196515325	0.3379897125145454	0.37933781386622606	0.21799948891612403	One-way ANOVA	2.062594361030055	0.1414932338699876	0.8492643273706851	0.14981636527410452	0.824440743645653	no	42	2	ns	ns		0.8492643273706851
no	42:3	0.6401614401875607	0.7458686639167582	0.5839294305990448	0.16273976444725766	0.1780231521912021	0.10141321426092352	One-way ANOVA	2.5654494521775018	0.09049372733412497	1.0433815233206418	0.09724699056801489	1.0121238295901998	no	42	3	ns	ns		1.0433815233206418
yes	42:4	0.06170140043812601	0.0573248661127412	0.037958356313444686	0.020116104656224747	0.023943124919840336	0.007197764146668031	One-way ANOVA	5.272799670195519	0.009664755207892867	2.014809141449984	0.011407579917512891	1.9428064800294824	yes	42	4	*	*	*	2.014809141449984
yes	43:2	0.011662056935358657	0.009649817011959745	0.0037531321220485537	0.006492114876307897	0.00914112852266224	0.005265813712570318	One-way ANOVA	3.9816373032662686	0.027155646087824486	1.5661398600030405	0.031035024100370838	1.508147913025354	yes	43	2	*	*	*	1.5661398600030405
yes	51:2	4.459127427998426e-4	0.1230879505244791	0.3547840072656208	0.0012059218584472696	0.08194520980620551	0.18623840108892137	One-way ANOVA	426.0013239246926	2.8643454027930925e-26	25.542974612941595	2.0623286900110266e-24	23.685642116510326	yes	51	2	*	*	*	25.542974612941595
yes	54:2	0.016171683565795573	0.21797103579804253	1.006915723352255	0.03985745342328937	0.12788654101948735	0.43843848215924874	One-way ANOVA	65.54026532864066	6.912892451001105e-13	12.160340199706614	1.6497054647896029e-12	11.782593586958683	yes	54	2	*	*	*	12.160340199706614
yes	54:3	0.15811681294858693	0.13811633898410033	0.6884017037367441	0.1555355817391963	0.13470611864155316	0.34348561229903934	One-way ANOVA	5.736984938309689	0.006758074975103547	2.17017699440588	0.008109689970124255	2.090995748358255	yes	54	3	*	*	*	2.17017699440588
yes	54:4	0.1452162029939281	0.009026672397097904	0.05572828157992576	0.11554182664249314	0.015151178273791475	0.045862751725889606	One-way ANOVA	10.547356004709535	2.372491893720543e-4	3.624795262786213	3.2849887759207517e-4	3.4834661099897435	yes	54	4	*	*	*	3.624795262786213
yes	54:5	0.0944772051450221	3.24993730265061e-4	0.0011978939144644603	0.06260402721510917	6.322729290012911e-5	0.0028339080891116863	One-way ANOVA	151.42022687475304	1.524554692564678e-18	17.816856990942433	7.84056699033263e-18	17.105652530189403	yes	54	5	*	*	*	17.816856990942433
yes	54:6	0.03696028682507037	0.0028679689230069376	0.02388126178266818	0.0254113750662102	0.005643691114277871	0.025388623904221756	One-way ANOVA	12.98744115345319	5.335015082823091e-5	4.272864348427406	8.002522624234637e-5	4.096773089371725	yes	54	6	*	*	*	4.272864348427406
no	56:5	0.020939737882515477	0.01438785979586425	0.048764761891777975	0.025361742829999097	0.01987393198735704	0.06486623649546538	One-way ANOVA	0.8505067034030447	0.4353801787214117	0.36113134669562236	0.441512293914671	0.35505719898342925	no	56	5	ns	ns		0.36113134669562236
no	56:6	0.04884508764584279	0.034820470297556284	0.11081194547272498	0.031549688088131404	0.03228030846671162	0.07334007161580114	One-way ANOVA	3.0856922976360774	0.05762438583296112	1.239393690335959	0.0628629663632303	1.2016051294465593	no	56	6	ns	ns		1.239393690335959
no	56:7	0.04197349214302814	0.03756095183542483	0.06239769563527452	0.024569711782802487	0.032190797768388006	0.051423709138390755	One-way ANOVA	0.20415578816784333	0.8162476051820705	0.08817807990705363	0.8162476051820705	0.08817807990705363	no	56	7	ns	ns		0.08817807990705363
yes	56:8	0.01250158581199893	0.019308373738017418	0.03873329094802439	0.009423819087684483	0.014643773679142557	0.016806847569744546	One-way ANOVA	3.5485100358653083	0.03891893188368992	1.4098390872984676	0.04378379836915115	1.3586865648510864	yes	56	8	*	*	*	1.4098390872984676
yes	58:7	0.0076240249467633215	0.025792019599366115	0.06658414351798844	0.006272568505310214	0.01616500948054473	0.026681929543576777	One-way ANOVA	12.335481683154457	7.856666918326489e-5	4.10476165828429	1.1313600362390144e-4	3.9463991661890407	yes	58	7	*	*	*	4.10476165828429
yes	58:8	0.007568533268562974	0.02003856945970911	0.052926384723152385	0.006276162120009547	0.016906828557823893	0.02126457091568336	One-way ANOVA	7.761855800200976	0.0015316405185644957	2.814843153191277	0.002005056678848067	2.6978733462542523	yes	58	8	*	*	*	2.814843153191277
