feature	BS-064D03	BS-082D03	BS-336D03	BS-346D03	BS-351D03	BS-364D03	BS-377D03	BS-671D03	JV-035D03	JV-048D03	JV-071D03	JV-138D03	JV-148D03	JV-157D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-352D03	KT-412D03	KT-417D03	KT-434D03	KT-445D03	KT-515D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-612D03	KT-663D03	KT-695D03	KT-705D03	KT-716D03	KT-718D03	KT-723D03	KT-771D03	KT-805D03	KT-880D03	KT-974D03
PGF2a	0	8.076533333333334	0	3.9360166666666667	4.039159999999999	2.3076	2.10835	2.0054833333333333	1.8708	0	1.8652666666666666	2.6590166666666666	5.018116666666667	1.5627	4.122833333333333	2.47535	1.28885	1.7201333333333333	0	0	0.5171333333333333	0	1.7200166666666665	2.1078333333333332	2.6598833333333336	3.79075	0	3.44825	7.600366666666668	3.210583333333333	0.68035	6.377883333333333	0	2.7009	1.0959333333333334	2.6612	7.316783333333333	9.477516666666666	0	3.806783333333333	0	11.769666666666666
11B-PGF2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGFM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15dPGJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6kPGF1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXB2	7.2039	35.87106666666667	4.17452	22.899799999999995	16.04524	16.664533333333335	14.141216666666669	15.813233333333335	5.948583333333333	5.2363	4.6471	8.718716666666667	15.598983333333335	10.65665	36.8896	9.147216666666667	20.280316666666668	16.159983333333333	4.453083333333334	1.0384833333333332	6.786266666666666	2.5487333333333333	7.437883333333333	6.219116666666667	19.54105	14.007916666666667	5.998083333333333	30.076416666666663	51.940416666666664	21.5348	7.6371166666666666	23.550216666666664	0.7445333333333333	24.658966666666668	6.394749999999999	21.520883333333337	15.035816666666667	49.776966666666674	0	13.927433333333333	5.073971428571428	56.4474
9-HOTrE	0.8580833333333333	15.065666666666667	3.29014	0.49278333333333335	0.10183999999999999	4.1525	0.5053833333333333	0.23084999999999997	0.1767	1.0634833333333333	3.965066666666667	0.3492166666666667	3.40265	0.25261666666666666	0.2524	0.17733333333333334	0.28026666666666666	0.38971666666666666	0.9255833333333333	0.11006666666666667	0.11741666666666667	0.3094166666666667	0.43979999999999997	61.874050000000004	0.40798333333333336	0.21195	0.9824	0.19196666666666665	1.7525833333333334	0.21146666666666664	0.6242333333333333	0.23551666666666668	0.3983833333333333	0.5286166666666666	1.7056666666666667	0.5162666666666667	0.9283	0.09076666666666666	0.13793333333333332	0.3618666666666666	17.18742857142857	2.0031666666666665
13-HOTrE	1.4144	22.811400000000003	6.04216	0.8676333333333334	1.17088	2.052966666666667	0.9079333333333335	0.5676000000000001	2.7563666666666666	1.2201333333333333	1.9535666666666667	0.8564333333333334	5.8533833333333325	1.3842333333333334	0.5984333333333333	0.8539166666666667	0.7529666666666668	0.7532166666666668	1.6563666666666668	0.47430000000000005	0.4134	0.5059166666666666	4.595716666666666	107.22805	0.5116166666666667	3.4924166666666663	1.3961666666666668	0.7212833333333334	1.3339999999999999	1.9432833333333335	0.64075	0.7260833333333333	2.0196166666666664	1.8638833333333333	2.0669333333333335	2.092766666666667	1.0977833333333333	0.7867833333333334	0.7001666666666666	0.6730833333333333	24.88597142857143	2.1096
18-HEPE	0.3516	11.661033333333334	2.7280200000000003	0.04615	0	0	0.2756166666666667	0.14326666666666668	-0.013966666666666665	0.7889666666666666	0.45463333333333333	0	0.7077333333333334	0.11084999999999999	0.03553333333333333	-0.010833333333333334	0	0	0.21211666666666668	0.19498333333333334	0	0	0	10.907816666666667	0.07176666666666667	0.006983333333333333	0	0.010233333333333334	0.3532333333333334	-0.023916666666666662	0.37415	-0.014283333333333334	0.18545	0.23815000000000003	0.0833	0	0.2768166666666667	0	0	0	13.175628571428572	0.26216666666666666
LTB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5,6-DiHETE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-HDHA	106.37280000000001	261.69086666666664	157.71106	38.07273333333333	67.89608	64.20401666666666	153.9187	143.19369999999998	282.9570333333333	88.14723333333335	40.030116666666665	39.70015	129.12803333333332	135.72261666666665	96.0365	95.26813333333332	83.92968333333333	69.85813333333334	93.92936666666667	162.41958333333335	90.88096666666667	28.176499999999997	431.0721166666666	294.8271666666667	34.482733333333336	213.22576666666663	49.504533333333335	116.63046666666666	78.70881666666668	172.69633333333334	35.72428333333333	65.78288333333333	237.5114	273.8142833333333	98.15316666666666	160.35921666666667	173.6671	173.68723333333335	95.41333333333334	78.4997	426.70885714285714	162.6376
17-HDHA	7.010366666666666	98.39353333333335	25.37958	1.4380499999999998	0.8492800000000001	1.5647166666666665	6.5809999999999995	4.9248	7.603516666666667	12.863816666666668	4.975333333333333	1.7989333333333333	10.407633333333333	5.1528833333333335	1.7586833333333332	2.0622	2.5556833333333335	1.8481999999999998	10.4259	3.9622833333333336	1.6281666666666665	1.00955	5.3614	109.65916666666666	1.9599166666666668	3.474433333333333	2.01635	2.371466666666667	5.1645166666666675	2.9805499999999996	2.80585	2.6477166666666667	7.1657	5.62755	4.714083333333334	2.6280666666666668	2.9891166666666664	3.2257833333333337	1.4014499999999999	2.7908666666666666	159.55688571428573	2.8106000000000004
7(S)-MaR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
