feature	BS-064D10	BS-082D10	BS-336D10	BS-346D10	BS-351D10	BS-364D10	BS-377D10	BS-671D10	JV-035D10	JV-048D10	JV-138D10	JV-148D10	JV-157D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-352D10	KT-412D10	KT-417D10	KT-434D10	KT-445D10	KT-515D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-718D10	KT-723D10	KT-771D10	KT-805D10	KT-880D10	KT-974D10
PGFM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15dPGJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6kPGF1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXB2	4.602916666666667	7.982500000000001	7.276666666666666	57.35985000000001	4.412850000000001	8.881333333333334	4.03955	5.458133333333334	21.632583333333333	12.436816666666667	22.67486666666667	0.4552800000000001	5.5759	9.437716666666667	4.587266666666666	11.630633333333332	22.014300000000002	4.736816666666667	6.204366666666667	1.4965	8.119716666666667	52.60988333333333	5.270250000000001	21.55365	3.6987	5.7600999999999996	10.308433333333333	0.7118666666666668	1.18985	15.009099999999998	7.310300000000001	14.185116666666666	4.460916666666666	2.5946166666666666	4.65485	1.093	13.514316666666666	2.5615	16.320566666666668	62.0674	8.644116666666665
9-HOTrE	0.08583333333333334	2.6803833333333333	0.4734166666666667	0.06105000000000001	1.6138333333333332	0.31678333333333336	4.998033333333334	0.34221666666666667	0.4768333333333334	0.4585666666666667	0.46768333333333334	0.06667999999999999	0.47591666666666665	1.4867833333333331	0.26513333333333333	0.28581666666666666	0.287	1.0558666666666667	0.11488333333333335	2.62035	0.1211	0.6723	0.9180666666666667	0.3204333333333333	0.6400833333333333	-0.013500000000000002	0.8761666666666665	0.338	0.3917333333333334	1.1689333333333332	0.5081666666666667	1.2863	0.9738333333333333	56.3077	0.47503333333333336	0.461	0.10843333333333333	0.16695	1.4857666666666667	0.15725	0.20595
13-HOTrE	0	3.3933166666666663	0.7757499999999999	0.8090166666666666	2.5323333333333333	1.0738166666666666	8.647583333333333	2.14165	1.7600666666666667	2.12115	1.4346500000000002	0.60752	0.76935	2.0918	1.2420499999999999	0.7906166666666666	1.0061333333333333	1.20185	0.6598166666666666	3.5002666666666666	1.4997666666666665	1.4839166666666666	1.0376833333333333	0.9448833333333333	1.2698500000000001	0.054683333333333334	2.1220166666666667	0.6832833333333334	0.9893333333333333	1.2669166666666667	1.4524833333333333	0.7920166666666667	2.4393000000000002	107.96598333333333	0.6927500000000001	1.1663	1.3167166666666668	1.3471833333333334	2.841916666666667	1.0623666666666667	0.8508833333333333
18-HEPE	0	0.09749999999999999	0.01958333333333333	0	1.2971000000000001	0.058050000000000004	2.9771	0	0.1922333333333333	-0.026450000000000005	0.020983333333333336	-0.0268	0.4038333333333333	0.23864999999999997	0.021233333333333333	0	0	0.9779166666666667	-0.01455	0.3253333333333333	0	0.23905	0.49475	0	0.0758	0	0.1711333333333333	0	0.01765	0	0.26108333333333333	0	0.00405	25.832466666666665	0.14256666666666667	0	1.3614166666666667	0.13908333333333334	0.9521333333333334	0.55945	0.08723333333333333
LTB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
