feature	BS-064D60	BS-082D60	BS-336D60	BS-346D60	BS-351D60	BS-364D60	BS-377D60	BS-671D60	JV-035D60	JV-071D60	JV-138D60	JV-148D60	JV-157D60	KT-193D60	KT-247D60	KT-312D60	KT-313D60	KT-347D60	KT-352D60	KT-412D60	KT-417D60	KT-434D60	KT-445D60	KT-515D60	KT-522D60	KT-525D60	KT-537D60	KT-538D60	KT-539D60	KT-612D60	KT-663D60	KT-695D60	KT-705D60	KT-716D60	KT-718D60	KT-723D60	KT-771D60	KT-805D60	KT-880D60	KT-974D60
LxA4	1.9972666666666663	1.46905	0	3.008033333333334	1.2328666666666666	8.423033333333334	0	2.6385166666666664	1.0313	0.5852166666666666	1.2297	0.17413333333333333	2.740933333333333	0.3780333333333334	30.10058333333333	1.2274666666666667	0.6440833333333333	2.3511499999999996	2.049583333333333	1.21435	3.4052833333333337	0.17671666666666666	7.898716666666667	4.0782	6.6844833333333336	1.2986166666666668	1.6343999999999999	0.9691500000000001	0	0	0	0	0	14.269433333333334	0.7270833333333333	1.6001666666666667	0.4512	1.8436444444444444	0.7410833333333334	0.12246666666666667
LXB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8isoPGA2	0	0	0	0.34985	0	0.5112	0.49055	0	0	0	0	0	0	0.3139333333333333	4.873900000000001	0.34768333333333334	0.13276666666666664	0.5707166666666666	0	0	0.22511666666666666	0	0	0	1.1779166666666667	0	0	0	0	0.08593333333333333	0.13675	0	0.1829333333333333	1.0163	0.06806666666666666	0	0	0	0.5425	0.07406666666666667
PGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE2	0.7189666666666666	1.1946333333333332	0	2.1064333333333334	0	2.18405	2.0275	0.6340333333333333	0	0	0	0	0.4433	0	6.1523	0.8378666666666666	0	0.5778666666666666	0.4048833333333333	0	0.6575	0	1.1996	1.2381833333333332	2.9416333333333333	0	0	0	0	0	0	0	0.5723166666666667	4.866966666666666	0	0.4404666666666666	0	0	1.2928333333333333	0.34343333333333337
PGF2a	3.9828499999999996	8.820416666666667	0.6224333333333333	5.89455	0.8798333333333334	0	8.831600000000002	2.1677833333333334	0	0	0	0.9513666666666666	0	8.731833333333332	0	3.8487500000000003	2.4616	3.3922666666666665	1.5876166666666667	0	2.4464166666666665	1.0346166666666667	2.5586833333333336	1.0654333333333335	3.0597	0	0	0	0	0	3.6087166666666666	0.8512333333333333	6.946700000000001	0	0.98725	0	2.0725666666666664	0	10.375333333333334	2.4813666666666667
11B-PGF2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGFM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15dPGJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6kPGF1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXB2	18.833816666666667	46.13681666666666	3.7555	41.120466666666665	17.124466666666663	9.657033333333334	37.03748333333333	7.753716666666667	3.285566666666667	0.92595	0.20368333333333333	9.923116666666665	0	46.9494	12.393633333333334	18.95175	17.75316666666667	15.94675	13.828016666666667	3.3181999999999996	15.133000000000001	4.489166666666666	5.386766666666667	4.3364666666666665	41.33443333333333	0.6684	2.075066666666667	3.4343166666666662	0.6878	0.16293333333333332	20.179133333333333	5.190216666666667	12.899650000000001	0.2788333333333333	6.4501833333333325	3.264033333333333	4.033283333333333	6.309422222222222	28.506433333333334	9.663316666666667
9-HOTrE	0.17706666666666668	2.0113	0.22430000000000003	0.19748333333333334	0.1639	3.0249499999999996	0.23415	0.5312	0.21903333333333333	0.7825333333333333	1.2067	0.5693666666666667	1.2273	2.9873999999999996	18.27313333333333	0.39091666666666663	0.3390166666666667	0.39265	0.8870166666666666	0.23959999999999998	2.0467666666666666	0.08969999999999999	4.1920166666666665	0.93395	0.7743666666666668	0.1813	0.5282333333333333	0.5362166666666667	0.20873333333333333	0.18283333333333332	0.19738333333333333	0.05035	0.07851666666666667	1.7397666666666667	0.7944166666666667	0.24301666666666666	0.4467166666666666	0.2965777777777778	0.12831666666666666	0.7863000000000001
13-HOTrE	0.4566666666666667	2.00605	1.00405	1.3812333333333333	0.4995666666666666	5.3199000000000005	0.44236666666666663	0.6066166666666667	0.7698166666666667	0.9388833333333333	2.355233333333333	4.2173	2.567266666666667	10.383916666666666	39.701483333333336	1.1370833333333332	1.1340000000000001	0.5712833333333334	2.2278166666666666	0.40045	3.541166666666667	0.81225	8.822233333333333	1.9496	1.0211833333333333	0.63035	1.7300833333333332	1.3071833333333334	1.0698833333333333	0.31470000000000004	0.38985000000000003	0.30305	0.5613666666666667	2.6600666666666664	0.5672333333333334	1.25815	1.3979	0.5367111111111111	1.1645833333333333	0.8258333333333333
18-HEPE	0.1549333333333333	0	0	0.13718333333333332	0.13916666666666666	2.8274333333333335	0	0.39558333333333334	0.14025	0	0.17226666666666668	0.07925	1.3425	0	12.50045	0.13621666666666668	0	0.15435000000000001	0.4389333333333333	0	0.6284166666666666	0	1.781	0.42313333333333336	3.1651000000000002	-0.021433333333333335	0.5900166666666666	0.04475	-0.02351666666666667	0.027733333333333332	0	0	0.30045	1.90005	0.13896666666666666	0.18516666666666665	-0.018666666666666668	0	-0.008483333333333334	0
LTB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5,6-DiHETE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-HDHA	65.94131666666667	71.09086666666667	77.61840000000001	252.16094999999999	74.18998333333334	144.53834999999998	55.0802	31.1003	131.32813333333334	8.182183333333333	137.45633333333336	231.97386666666668	144.23748333333333	109.50086666666667	615.3208333333333	45.85613333333333	155.67108333333334	115.3522	122.93671666666667	28.00093333333333	240.36003333333335	112.94586666666667	332.6516333333333	133.89473333333333	53.32755	77.49733333333333	290.3582833333333	83.26535	117.27551666666666	10.220233333333333	49.14885	18.386583333333338	214.54028333333335	89.81700000000001	55.08235	246.52026666666669	124.7571	27.542755555555555	300.14238333333327	78.76831666666666
17-HDHA	3.5921666666666665	1.9658833333333332	1.24285	6.761533333333333	2.6179	29.586266666666667	0.9277499999999999	2.9450333333333334	3.4001333333333337	3.382383333333333	11.123850000000001	4.737516666666666	14.044199999999998	3.956716666666667	164.3336666666667	2.287533333333333	2.5843333333333334	4.682733333333333	5.772283333333333	0.9401166666666666	6.88245	1.3833666666666669	25.9476	9.757183333333334	5.3171	2.3445000000000005	8.037299999999998	3.6208833333333335	3.07215	2.4565333333333332	1.1283666666666667	1.1154833333333334	4.0750166666666665	24.13748333333334	3.105933333333333	6.591133333333333	4.371033333333333	1.3530222222222221	5.7818000000000005	1.9704166666666665
7(S)-MaR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
