feature	BS-064D0	BS-082D0	BS-336D0	BS-346D0	BS-351D0	BS-364D0	BS-377D0	BS-671D0	JV-035D0	JV-048D0	JV-071D0	JV-138D0	JV-148D0	JV-157D0	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-352D0	KT-412D0	KT-417D0	KT-434D0	KT-445D0	KT-515D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-612D0	KT-663D0	KT-695D0	KT-705D0	KT-716D0	KT-718D0	KT-723D0	KT-771D0	KT-805D0	KT-880D0	KT-926D0	KT-974D0
PGF2a	2.1837499999999994	10.097916666666666	0.5417833333333334	0	0	3.1465166666666664	2.4838	0	2.3006666666666664	3.7060833333333334	10.427733333333332	1.95355	2.6745333333333337	0	0	0	0	0	0	1.0734833333333333	1.3322	1.3700833333333333	2.3200333333333334	2.016366666666667	0	0	0	7.8145999999999995	0	4.1116166666666665	0	8.394350000000001	0	0	0	4.669	0	1.3601166666666666	1.4110333333333334	1.4905200000000003	0	0	1.0324333333333333
11B-PGF2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGFM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15dPGJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6kPGF1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXB2	11.6234	34.62911666666666	4.0984	1.5432	1.2789428571428574	21.740716666666668	19.16641666666667	1.7432166666666666	20.23185	21.939983333333334	38.439949999999996	15.070783333333335	5.291083333333334	28.41795	2.8065333333333338	6.811516666666667	0.41437142857142856	3.277416666666667	0	3.2681833333333334	8.394733333333333	5.164883333333334	95.71576666666667	5.220883333333333	3.7897833333333333	3.1239166666666667	22.077083333333334	35.33453333333333	0.3289	20.17011666666667	3.3476	39.53841666666667	3.5515833333333333	7.272733333333334	11.614116666666668	44.64513333333333	0.9098999999999999	3.1983333333333333	13.167083333333332	3.9542	3.48695	0.27315	10.155083333333334
9-HOTrE	0.2906833333333333	27.954116666666668	0.2516	0.5899166666666666	0.5947714285714286	0.20909999999999998	0.27591666666666664	0.5427333333333333	0.7140666666666665	0.23773333333333332	0.34598333333333336	0.40756666666666663	0.32965	3.5438166666666664	0.8379166666666666	0.6318	0.5055428571428572	2.1504833333333333	0.5158666666666667	0.3768	0.8973	0.21939999999999998	0.07091666666666667	0.1678666666666667	0.16326666666666664	0.2469166666666667	0.4285	0.22998333333333332	0.5991666666666667	0.37233333333333335	1.466233333333333	0.22391666666666665	0.188	1.8054833333333336	1.5531000000000001	0.19729999999999998	0.7306166666666667	0.21791666666666668	-5e-4	0.13832	1.7006500000000002	0.3772	0.4308666666666667
13-HOTrE	1.4151833333333335	51.3378	0.7549166666666666	1.2531	1.964314285714286	0.8539166666666667	0.5775666666666666	1.1539333333333335	1.3571833333333336	0.7076166666666667	1.0198166666666666	1.3896000000000002	1.7655833333333333	4.7613666666666665	1.0835499999999998	1.1258000000000001	0.7709142857142857	4.667	1.9278333333333333	0.4860999999999999	4.928133333333333	1.5808166666666665	0.6207	0.3888833333333333	0.2935	0.7029666666666667	1.1524333333333334	0.7275000000000001	1.8363	1.3855499999999998	1.4181166666666665	0.6349166666666667	0.24276666666666666	3.0842833333333335	3.1940000000000004	0.44483333333333336	1.1415833333333334	0.34009999999999996	0.06833333333333333	0	2.2540833333333334	0.7379666666666668	1.190016666666667
18-HEPE	0.17911666666666667	10.46965	0	0	1.4579714285714285	0.11438333333333334	0	0	0.12701666666666667	-0.0038	0.15483333333333335	0.23558333333333334	0.06043333333333333	1.1180833333333333	0	0	0	0.6916833333333334	0.023016666666666668	-0.0302	0.00525	0	0.0727	-0.024233333333333332	0	0.04765	0.15258333333333332	0.10803333333333334	0.0037333333333333333	0.07033333333333333	0.14868333333333333	0.22235000000000002	0	0.6014666666666667	0.6851666666666667	0.07836666666666667	0	0	0.018600000000000002	0	0.2268	0.49035	0.1360166666666667
LTB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5,6-DiHETE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-HDHA	197.91578333333334	239.46855000000002	37.00018333333333	32.97538333333333	128.68354285714287	223.86981666666668	104.91336666666666	37.09758333333333	186.84304999999998	52.69696666666667	94.17046666666666	122.10464999999999	224.14035	209.00958333333332	51.31951666666667	71.28678333333333	55.53494285714286	153.5079	180.17723333333333	35.85048333333334	218.71658333333335	146.6853	199.86124999999998	51.00071666666667	38.01423333333333	60.44636666666667	210.98278333333334	173.83825000000004	65.83800000000001	169.70553333333334	46.35773333333334	106.19616666666667	46.342333333333336	94.477	144.31963333333334	115.63453333333334	36.07106666666667	37.56275	19.648766666666667	47.361279999999994	92.3068	13.31475	150.99146666666667
17-HDHA	3.974466666666667	94.88973333333334	1.9828000000000001	2.7599	12.638171428571429	4.1894833333333334	1.8447166666666668	3.0992166666666674	5.86035	1.0911666666666666	2.8798666666666666	3.8370833333333336	3.04735	20.597383333333333	4.2372000000000005	2.2536833333333335	3.0154571428571426	14.6312	4.19495	1.2513333333333334	7.126566666666666	2.0577666666666667	4.7501	1.2664333333333333	0.8652833333333334	2.8252499999999996	8.657183333333334	5.879499999999999	2.2539833333333332	3.8538	3.254633333333333	1.9679166666666665	1.5780333333333332	13.243950000000002	7.835366666666667	3.487083333333333	2.1591333333333336	0.8645666666666667	0.7077833333333333	1.49292	14.308483333333333	7.278916666666666	5.18055
7(S)-MaR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RvD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
