"","BS-346D60","KT-193D60","KT-412D60","KT-716D60","BS-082D60","KT-771D60","KT-705D60","BS-336D60","KT-445D60","KT-522D60","JV-148D60","KT-352D60","KT-515D60","KT-926D60","KT-525D60","BS-377D60","JV-138D60","KT-612D60","KT-663D60","KT-537D60","KT-805D60","KT-434D60","KT-417D60","KT-538D60","KT-974D60","KT-347D60","JV-071D60","KT-880D60","KT-313D60","JV-157D60","BS-671D60","KT-718D60","BS-351D60","KT-723D60","JV-035D60","BS-064D60","KT-539D60","KT-312D60","BS-364D60","KT-247D60","KT-695D60"
"KT-612D60",0.94495602196224,0.90578093679415,0.906422993641823,0.936154392039863,0.895896770403104,0.903132050520803,0.903771013704093,0.944926815096771,0.896153759160409,0.847872614133562,0.914369241154429,0.892224440073297,0.942436768105358,0.942408332559598,0.897186590890601,0.876979448514519,0.849755581758401,1,0.957079081816789,0.839081239729101,0.943151585409274,0.846569672445948,0.918152877046956,0.9322271102868,0.91002725504388,0.877327897481084,0.916445432110806,0.861448814801411,0.922461881218399,0.949018366054465,0.946753859946051,0.897383919007706,0.919109186092394,0.907078920449449,0.93919320091749,0.95359857052384,0.869371980161269,0.911231428211561,0.934992564292948,0.951122005562231,0.878611474760116
"KT-525D60",0.886819978399896,0.865948543977655,0.748547501989133,0.861662425798338,0.83103760250127,0.831849500004738,0.790684787436614,0.898183751147057,0.801138821456076,0.884783715026867,0.884380937429338,0.867879932488816,0.879273736860351,0.887215154099567,1,0.727288662720137,0.808232965803139,0.897186590890601,0.902052586952504,0.899249923046507,0.891314058943392,0.850922106528404,0.924209568055772,0.90129177637332,0.880234323566646,0.886627726164964,0.793101498457689,0.857390040715151,0.914481198770628,0.928354335216699,0.87744981624247,0.904811987574544,0.874504526409237,0.857950641929802,0.854335773360229,0.940206220577276,0.952389299466783,0.850787960404761,0.91159482161851,0.870726604480982,0.913712673380416
"KT-522D60",0.810562623705353,0.814788322241008,0.765518138307098,0.822662271203117,0.806784318825665,0.805854695662524,0.786504909544873,0.837260456832566,0.799186874644483,1,0.810019395348299,0.914325457525445,0.856553170919937,0.852159186650759,0.884783715026867,0.778686902385651,0.868639347692099,0.847872614133562,0.859218881644793,0.930581433189159,0.836831629435255,0.884288618291966,0.889597593423913,0.891907480134864,0.838686785585362,0.921843370102382,0.779416338232051,0.857270488585461,0.874438079943907,0.876207601425058,0.830544701977393,0.844092983279521,0.828459146182314,0.812057710090071,0.801885805595788,0.868472166858152,0.912032796169514,0.777730028059118,0.820245462953414,0.794887163625466,0.939966072958199
"KT-434D60",0.876028057600172,0.880630140320569,0.811054566016398,0.865642820593849,0.86554952092379,0.881981905569692,0.865038167938931,0.860453215426878,0.828531685236233,0.884288618291966,0.803760302035386,0.890559796437659,0.794068419564603,0.796083675670911,0.850922106528404,0.831045606578404,0.914975727953128,0.846569672445948,0.802555280057717,0.845452026653179,0.86332086506525,1,0.857268064859987,0.828633466982244,0.859134063536854,0.902994337028384,0.832436619841099,0.836272752474509,0.878588856630191,0.867140894223047,0.876372282650612,0.858735817746768,0.875620934069278,0.858767316935256,0.847575318972142,0.856696956174036,0.842265077003431,0.844403543176061,0.86056545094713,0.858577491033941,0.87652565302682
"KT-417D60",0.910469071192126,0.905122180853328,0.7939994006313,0.884782737770608,0.857711544065153,0.866272922111232,0.823159870863433,0.912110219912762,0.820727404324618,0.889597593423913,0.883280132802283,0.858517718519343,0.896239164499284,0.906504720145439,0.924209568055772,0.764826956409246,0.849749927200969,0.918152877046956,0.905967537189404,0.882559500599361,0.922489715719205,0.857268064859987,1,0.916442368587714,0.924435108115444,0.894195346923165,0.828256954402132,0.88460146566543,0.9360724009571,0.935450217135619,0.88918481073138,0.910140600574183,0.874568489057438,0.863832987477692,0.884018388790872,0.934884759793721,0.924232186157605,0.871160180384884,0.911294381096735,0.885138974888821,0.904215166035256
"KT-352D60",0.83105787091689,0.824576829454326,0.857625106022053,0.874299899070215,0.857661457909727,0.828413910093299,0.865484874187164,0.857835140531579,0.877737504891074,0.914325457525445,0.866203932853483,1,0.895040995193667,0.8977690069841,0.867879932488816,0.850491519628844,0.919341021606789,0.892224440073297,0.897192245387373,0.927070139387974,0.85386644503873,0.890559796437659,0.858517718519343,0.901039870186133,0.826428195818673,0.909819310664336,0.867602113665084,0.827632613146469,0.889389000255181,0.914964178494574,0.868636891823918,0.844000124402933,0.841818372018145,0.879937800395816,0.866116665214167,0.893971693379818,0.866635943922197,0.844680616490235,0.836488549618321,0.864526051815872,0.923395749520938
"KT-347D60",0.838858700261802,0.864998586386461,0.789486034817872,0.840254452939642,0.791919705978168,0.838815835977806,0.810814784241905,0.881751560789134,0.816700075517292,0.921843370102382,0.822350267014188,0.909819310664336,0.877458644451784,0.831410800126382,0.886627726164964,0.77695787391686,0.867062482343519,0.877327897481084,0.877608142507669,0.891701088874131,0.865930822395337,0.902994337028384,0.894195346923165,0.888241131615585,0.832204784323925,1,0.816448968065074,0.879386144747902,0.884223918589199,0.87036152211647,0.869590048077232,0.828249929331873,0.882307705356487,0.80189764801664,0.839396432623588,0.904215166035256,0.876517520398528,0.823012852825334,0.846313694338428,0.833237206685642,0.903591158658984
"KT-312D60",0.938212825690902,0.949866552082498,0.903247695093517,0.9672119560455,0.942934045070716,0.928874149375929,0.9394990627909,0.947428836403869,0.938828651808273,0.777730028059118,0.950660461659793,0.844680616490235,0.909806981714788,0.874683343902521,0.850787960404761,0.852607889274465,0.879854451294262,0.911231428211561,0.915495227554671,0.801751801706942,0.923572353503311,0.844403543176061,0.871160180384884,0.841521650012552,0.908952628680883,0.823012852825334,0.918472360459812,0.825898019483362,0.906320682182227,0.870673885695955,0.93937449110341,0.926920293147905,0.925043398664744,0.963101185512609,0.957299126647554,0.895452296473702,0.823668779632992,1,0.940686519851647,0.943686103335452,0.829278084746752
"KT-247D60",0.966169069848638,0.919168330044275,0.919544584523281,0.960562400692116,0.925665398164536,0.919510657370532,0.94183472387915,0.952266648632826,0.923157391782529,0.794887163625466,0.930643437607225,0.864526051815872,0.907104628515439,0.926999869945547,0.870726604480982,0.894893383621055,0.874559652584974,0.951122005562231,0.908823346470718,0.807054100313174,0.945368338927626,0.858577491033941,0.885138974888821,0.902289247579922,0.915153365737605,0.833237206685642,0.942566822543526,0.827196724883642,0.899504662169421,0.918919300987283,0.961289009267793,0.913649497593993,0.926694939228838,0.943519772465667,0.960016398343811,0.926875263294035,0.856454622575185,0.943686103335452,0.944229415410659,1,0.839010460855935
"KT-193D60",0.953259824725446,1,0.852832493168501,0.938065807553336,0.902826705268336,0.944469732742629,0.908232706344332,0.954276860850295,0.89446616737282,0.814788322241008,0.91910521530133,0.824576829454326,0.893816493688881,0.8464169998134,0.865948543977655,0.819586200657058,0.851424096262914,0.90578093679415,0.898065581371679,0.797056786242782,0.938783588181117,0.880630140320569,0.905122180853328,0.839602823889337,0.94905809209957,0.864998586386461,0.860406335348235,0.869218568439169,0.890313205050636,0.849546363133419,0.942114459227929,0.938721734360952,0.946881538041714,0.919046986282967,0.936385869214757,0.892382462959147,0.860621996055602,0.949866552082498,0.955004113671088,0.919168330044275,0.821074356812674
