"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"TG 56:5","0.40265","-0.14613","0.79833","0.60117","-0.53344","-0.32089","-0.10281","-0.48964","0.42563","-0.233","-0.93075","-0.00162","0.10752","0.4808","0.51702","-1.13505","0.18458","-0.05509","-0.10368","0.78247","0.19307","0.20457","0.11877","-0.12077","-0.46387","0.87731","-0.40374","-0.10479","0.17561","-0.32658","-0.20912","-0.13057","0.05568","0.50079","0.07952","0.18619","-0.06328","-0.44404","0.1271","0.1271"
"TG 56:6","0.5687","-0.60531","0.08054","0.35693","-0.28837","0.13273","-0.61285","0.35266","-0.02784","-0.22896","-0.19756","-0.33741","-0.07","-0.33514","-0.26139","-0.96065","-0.49797","0.22981","-0.43593","0.93651","0.49829","0.56997","0.1482","0.13865","-0.33344","0.65406","0.51803","0.41976","0.02777","-0.0933","0.15123","0.00857","-0.11602","-0.30334","0.3997","0.24542","-0.38042","-0.23805","-0.88024","0.13672"
"TG 56:7","0.54563","-0.18184","0.31157","0.69623","-0.15783","-0.30501","-0.20088","-0.18119","0.32602","-0.62941","-0.04115","-0.00655","0.17209","-0.30417","-0.29972","-0.75421","-0.51563","-0.02185","-0.38463","0.42821","0.12856","0.2218","-0.14951","0.51003","-0.02758","0.59038","-0.14491","0.29259","0.13074","0.07587","-0.11361","-0.48144","0.31274","-0.2583","0.25951","0.00004","-0.12494","0","-0.23257","-0.11651"
"TG 56:8","0.30259","-0.20683","0.39675","0.41514","0.13605","-0.18146","-0.19767","-0.17795","0.39912","-0.07386","-0.13535","0.03503","-0.00975","-0.3722","-0.37544","-0.67151","-0.33656","-0.05021","-0.27308","0.1156","0.36916","0.04946","-0.07084","0.2926","0.01694","0.23243","0.1552","0.22227","0.03631","0.01346","0.04577","-0.39794","0.11107","-0.21539","0.28584","-0.50187","-0.01803","0","-0.42438","-0.0874"
"TG 58:11","-0.03983","0","0.08577","0.09889","-0.07188","0.08317","0.00099","0.02004","0.13643","0","0.11199","-0.00162","-0.00975","0.05756","-0.00225","-0.03147","0.04786","0.14328","-0.09377","0.0607","0.09394","-0.02332","0.04383","0.19033","0","0.12807","0.19528","0.00479","0.13321","-0.11059","0.04856","0","0","0.03779","0.02321","-0.14014","-0.04062","0","0","0"
"TG 58:5","0.16968","-0.1271","0.40234","0.43042","-0.06545","-0.04895","-0.1096","-0.15961","0.43593","0.22272","0.12848","-0.22173","-0.00975","-0.13278","-0.24905","-0.45126","-0.20499","0.2415","-0.2194","0.3908","0.43989","0.32499","0.21185","0.3341","0.04548","0.45857","0.34864","0.00479","0.15951","-0.02755","0.13135","-0.25768","0.03925","-0.09115","0.11581","0.00287","-0.0374","0","-0.256","-0.26951"
"TG 58:7","0.33675","-0.26717","0.3008","0.60559","0.03021","-0.09832","-0.02158","-0.33417","0.37882","0.44248","-0.12094","-0.15343","-0.15588","-0.14799","-0.22192","-0.42377","-0.24871","0.17429","-0.16557","0.43113","0.34143","0.28688","0.08456","0.40274","-0.07482","0.57151","0.33667","0.27196","0.18514","0.1028","0.12627","-0.27522","0.17371","-0.23122","0.18699","-0.12701","-0.09141","0.07212","-0.37537","-0.30674"
"TG 58:8","0.33492","0","0.15651","0.48032","0.10966","-0.08663","-0.02472","-0.25717","0.49736","0.31597","0.04415","-0.0979","-0.14963","-0.106","-0.24614","-0.57886","-0.25472","0.13296","-0.14677","0.36582","0.34486","0.25559","0.2424","0.31534","-0.06942","0.47208","0.23186","0.40273","0.12763","0.03196","0.25268","-0.17792","0.1797","-0.15746","0.22374","-0.00835","-0.02942","0.25768","-0.53908","-0.16577"
"TG 58:9","-0.03983","0","0.06816","0.21896","0.16732","0.02065","0.00099","-0.13104","-0.01586","0","-0.02339","-0.00162","-0.00975","0.05756","-0.0189","-0.17525","-0.20982","0.19249","0.02017","0.29885","-0.09919","-0.02332","0.34242","0.20412","0.02996","0.28396","0.06153","0.2301","0","0.17898","0.04856","-0.25527","0.14301","-0.1954","0.09395","0.03304","-0.09393","0","-0.28103","0"
"FA 14:0","0.73904","0.12358","0.07957","0.32872","0.17148","0.19711","0.29864","0.16249","0.18351","0.01037","0.65684","0.42529","-0.02696","0.10112","-0.00143","0.31829","0.13262","-0.17588","0.02522","0.09256","0.23758","0.94329","0.03865","0.14738","0.40483","-0.06611","0.23724","-0.2213","0.34737","0.25806","0.20746","0.0588","0.0176","0.25628","0.2111","0.12281","0.10186","-0.02374","0.00487","0.56703"
