feature	severity	contrast	estimate	se	p_value	fdr_posthoc
SM 40:2;O2	severe	D3 - D0	-0.13386732737350246	0.0307302248213252	7.814833861174986e-5	3.4902340703292793e-4
CAR 18:2	severe	D10 - D0	-0.8528714791818737	0.19620180763191167	8.053875388291942e-5	3.5701507318249356e-4
SM 38:1;O2	severe	D60 - D0	-0.15832134286628535	0.03645847465231917	8.173858465654327e-5	3.596497724887904e-4
FA 18:3	severe	D10 - D0	-1.535330741738731	0.3552629427872715	8.913706013446987e-5	3.893192185284934e-4
SM 36:2;O2	severe	D3 - D0	-0.1360294917923041	0.03156408052671276	9.399158223910575e-5	4.075255463505753e-4
LPC 20:3	severe	D10 - D0	0.6583892692383814	0.15304745248731666	9.652536302384718e-5	4.1547873649395084e-4
SM 38:1;O2	mild	D3 - D0	-0.1480149877840607	0.03456575753793849	1.0475431436085536e-4	4.4765512755646104e-4
LPC 18:2	mild	D10 - D0	0.1855845604863489	0.043521399558801105	1.1238167631066887e-4	4.768193980609808e-4
SM 33:1;O2	severe	D60 - D0	-0.5082085405803649	0.11938957876433651	1.14226192256206e-4	4.8120821418571886e-4
PC 36:1	mild	D10 - D0	0.23701614571975338	0.055787282216291076	1.1946353206115923e-4	4.997277327065394e-4
PI 38:3	mild	D60 - D0	1.1276347552403634	0.26580776138557227	1.2246818459193953e-4	5.087139975357488e-4
PC O-32:0	mild	D10 - D0	-0.5185205147827819	0.12277784120849576	1.318649059646182e-4	5.439427371040501e-4
TG 48:2	severe	D10 - D0	1.4641961094741	0.3472151164330773	1.3428632989964662e-4	5.501108962785523e-4
PC 34:3	severe	D10 - D0	0.17970019532532153	0.04265799613940169	1.3691892754685853e-4	5.570537189235203e-4
DG 32:0	mild	D3 - D0	0.9149605309126617	0.21929478760058807	1.607128379506051e-4	6.494110594738735e-4
PC 36:3	severe	D10 - D0	0.13452094486617666	0.03242447238831885	1.75291620571838e-4	7.035352879707551e-4
LPC 18:0	severe	D3 - D0	0.11713623645120909	0.028295778240666907	1.8216083994326837e-4	7.261982478275262e-4
SM 32:1;O2	mild	D10 - D0	-0.26208527418412314	0.06368979364441395	2.0025722656025202e-4	7.93018617178598e-4
