"feature","BS-064D0","JV-035D0","JV-048D0","KT-515D0","KT-926D0","JV-148D0","JV-157D0","KT-193D0","KT-247D0","KT-312D0","KT-347D0","KT-352D0","KT-417D0","KT-434D0","KT-522D0","KT-525D0","KT-565D0","KT-612D0","KT-705D0","KT-718D0","JV-071D0","BS-082D0","BS-336D0","BS-346D0","BS-351D0","BS-364D0","BS-377D0","JV-138D0","KT-313D0","KT-412D0","KT-445D0","KT-537D0","KT-538D0","KT-539D0","KT-663D0","KT-695D0","KT-716D0","KT-723D0","KT-771D0","KT-805D0","KT-880D0","KT-974D0","BS-671D0"
"Cer 41:1;O2","0.13988","-0.49485","-2","-2","-0.48149","-2","-2","-0.36653","-0.23657","-2","-2","-2","-0.35655","-2","-0.36653","-0.36653","-2","-0.3098","-0.25964","-0.37675","-0.07572","-0.60206","-2","-2","0.03743","-0.23657","-0.33724","0.08991","-0.50864","-2","-2","-2","-0.45593","-2","-0.14874","-2","-0.36653","-2","-0.10237","-0.36653","-2","-2","-2"
"Cer 42:2;O2","-0.03152","0.23805","-0.3279","-0.58503","-0.07058","-0.06048","0.08991","-0.12494","0.33445","-0.33724","0.00432","-0.04096","-0.23657","-0.04576","-0.12494","0.19033","0.17609","0.02531","-0.17393","-0.27572","0.39794","-0.4318","-0.01773","0.07188","0.18184","-0.37675","0.08991","0.21219","-0.11351","-0.16749","-0.13077","-0.03152","0.22531","0.01284","-0.0655","-0.48149","0.06446","-0.13668","0.32634","-0.19382","-0.03152","-0.52288","0.0569"
"LPC 16:0","2.87876","3.14649","3.18086","3.00641","3.07629","2.96475","2.9248","2.7611","3.10629","3.19208","2.92912","2.96922","2.93485","2.84763","2.65465","2.87808","3.06818","2.98726","2.87015","3.1439","3.30452","2.78478","3.13485","3.2532","2.87566","3.14973","3.12622","3.02496","3.18253","3.16956","3.08866","2.942","2.87804","2.79488","2.92158","2.91065","3.38277","2.97396","3.04961","3.3771","2.80733","2.6515","2.97981"
"LPC 16:1","1.10517","1.2531","1.07115","1.02857","1.40518","1.08955","-2","1.02202","-2","1.18156","1.14582","0.98543","1.09517","1.02816","-2","1.08027","-2","1.23629","0.99123","1.00561","1.64552","1.07262","1.20493","1.44855","-2","1.46997","1.06781","1.37346","1.41531","1.21458","-2","1.06408","1.1784","-2","1.28262","0.94596","1.33082","1.21272","0.98318","1.3485","-2","0.87852","-2"
"LPC 18:0","2.37712","2.6272","2.57993","2.52533","2.73496","2.4588","2.47962","2.20986","2.67827","2.75859","2.43861","2.47612","2.48825","2.25686","2.03342","2.32838","2.49021","2.50113","2.41903","2.54757","2.71617","2.30181","2.73438","2.75893","2.4518","2.75811","2.69834","2.66202","2.6766","2.68631","2.63317","2.4342","2.36003","2.33183","2.5597","2.41491","2.87245","2.57809","2.65046","2.85405","2.3228","2.13944","2.62227"
"LPC 18:1","2.33459","2.57663","2.4582","2.13536","2.52211","2.30946","2.32572","2.27848","2.57766","2.5447","2.24132","2.27","2.22334","2.19379","2.51164","2.25022","2.38507","2.42285","2.36979","2.36894","2.60881","2.06322","2.28312","2.4775","2.15385","2.51776","2.39604","2.75733","2.4232","2.50046","2.37805","2.3385","2.50599","1.98466","2.38987","1.99427","2.58363","2.28178","2.42261","2.65894","2.14355","1.93399","2.25225"
"LPC 18:2","2.22593","2.50505","2.3832","2.00949","2.18704","2.2071","2.28085","2.29077","2.28056","2.18407","2.17357","1.98597","2.17184","1.94537","2.43562","2.05816","2.18918","2.2334","2.57937","2.28262","2.5539","1.92085","2.06288","2.07397","1.90752","2.1014","2.1186","2.67394","1.88446","2.3375","1.90988","2.11498","2.40331","1.75381","2.39596","1.94856","2.46425","2.23752","2.46427","2.40303","2.11707","1.77692","2.18201"
"LPC 18:3","1.69417","1.92418","1.88891","1.78254","1.84342","1.72884","1.69381","1.58659","1.84017","2.02206","1.75435","1.719","1.83613","1.59977","1.27439","1.66361","1.83334","1.85285","1.69126","1.98673","2.03129","1.63919","1.94929","2.06032","1.71282","2.00518","1.80949","1.72214","1.9598","1.94201","1.88891","1.70927","1.76989","1.58047","1.67806","1.67164","2.02772","1.61066","1.90854","2.10911","1.45102","1.463","1.8526"
"LPC 20:3","1.13194","1.4312","1.49596","1.2188","1.5563","1.25358","1.36922","1.16197","1.73584","1.70458","1.1313","1.14891","1.43981","-2","1.29181","0.96755","-2","1.39985","1.2383","0.95085","1.73416","1.3126","1.38057","1.45347","1.13704","1.75113","1.17085","1.55823","1.72132","1.56443","1.32531","1.38021","1.29092","0.86688","1.55255","0.98588","1.68547","1.52427","1.33546","1.59517","1.35468","1.08529","1.25358"
"LPC 20:4","2.03366","1.92454","1.94448","1.73014","1.94082","1.96261","1.88315","1.93409","2.04501","2.15854","1.84479","1.88412","1.719","1.65079","2.16444","1.74997","1.85866","1.96605","2.0966","1.91561","2.00217","1.72016","1.80916","1.99848","1.49136","1.87105","1.99445","2.46025","1.94354","2.16224","1.74028","2.04774","2.09205","1.73783","1.90472","1.71958","2.25049","1.99865","2.18724","2.11488","1.93313","1.58399","1.82373"
"LPC 22:5","-2","0.76641","0.86392","0.72591","0.87622","-2","1.04571","0.6902","1.05231","0.89432","-2","-2","0.91275","-2","0.9425","-2","-2","1.05956","0.97635","-2","0.98182","-2","-2","1.08171","-2","-2","0.76418","1.22994","1.16227","-2","-2","-2","0.67394","-2","0.90255","-2","1.25042","0.94201","0.92634","0.90795","-2","-2","-2"
"LPC 22:6","1.51904","1.34733","1.61109","1.26055","1.34203","1.45484","1.23578","1.57287","1.61458","1.7629","1.30621","1.46864","1.01745","-2","1.7464","1.35468","1.6288","1.39041","1.72827","1.49721","1.23729","1.19089","1.39898","1.52179","0.96942","1.11025","1.55206","1.92402","1.50705","1.63094","1.21932","1.52075","1.45102","1.08884","1.24748","1.07737","1.55654","1.38543","1.58172","1.58433","1.42651","0.9058","1.15564"
"LPC O-16:0","-2","0.88423","1.28262","1.19089","1.13226","-2","-2","-2","1.02979","1.31366","0.97267","1.17782","0.91751","-2","-2","-2","-2","1.23654","-2","-2","-2","0.83059","1.26031","1.46015","0.97359","1.58024","1.06521","1.02612","1.3216","1.39933","1.34459","1.12905","0.93551","1.08636","1.23376","1.00903","1.38417","1.27715","1.18184","1.19257","-2","0.96848","1.18865"
"PC 30:0","0.15229","0.23045","-0.19382","-2","-0.40894","-0.13668","-0.03621","0.11059","-0.19382","0.07188","-0.10237","0.13033","0.07188","-2","-0.10237","-0.22185","-0.07058","-0.22915","-0.05061","-2","0.2014","-0.22915","-0.23657","0.02938","-0.09691","-0.07572","-0.27572","0.08636","0.31387","-2","-2","-0.23657","-0.49485","-0.05061","-0.01773","-2","-0.1549","-0.18046","-0.10237","-0.21467","-0.04096","-2","-2"
"PC 32:0","1.47799","1.35295","1.01242","0.74819","0.75128","1.18327","1.16197","1.23274","1.06483","1.18611","1.17202","1.19893","1.09864","1.03623","1.25912","0.94841","1.26411","0.95472","1.07298","1.05038","1.21748","0.93247","1.02284","1.14953","1.1176","1.04336","1.14799","1.35372","1.0249","0.88138","0.87795","0.99695","0.84942","1.13956","0.88138","0.95182","1.07846","0.84198","1.20167","1.08243","1.11661","0.72916","1.08063"
"PC 32:1","1.24229","1.15381","0.78604","0.24797","0.86923","0.95472","1.17289","1.21854","0.92531","0.97081","1.1313","0.99695","1.13988","0.72997","0.97818","0.95279","1.2408","0.76492","0.95999","0.85003","1.36059","0.79099","0.74351","0.99739","1.12581","0.85491","0.88252","1.16938","0.87679","0.38561","0.36549","0.66839","0.7679","0.84073","0.89873","0.55991","0.5977","0.48144","0.73239","0.90795","0.96426","0.5302","0.67943"
"PC 34:1","2.53742","2.58136","2.20262","1.87192","2.28185","2.29585","2.45989","2.54544","2.3841","2.29336","2.3755","2.43694","2.42666","2.12872","2.27623","2.25957","2.54184","2.2023","2.38346","2.34475","2.69971","2.11747","2.21812","2.35166","2.33397","2.26644","2.37654","2.46395","2.18673","1.95775","1.9195","2.06967","2.162","2.26576","2.15981","1.9667","2.27802","2.03643","2.31742","2.46327","2.33989","1.90238","2.18704"
"PC 34:2","2.42055","2.74073","2.43075","1.9589","2.22443","2.34842","2.58103","2.64119","2.39127","2.11331","2.39336","2.28661","2.58578","2.18667","2.12418","2.33526","2.57209","2.20707","2.52161","2.53107","2.81813","2.04048","2.30081","2.13596","2.3033","2.18696","2.48951","2.45483","1.90741","2.05789","1.82892","2.07762","2.36267","2.19019","2.17246","2.04902","2.35792","1.98735","2.4674","2.48803","2.31654","1.86516","2.26048"
"PC 34:3","0.52763","0.716","0.46538","0.0086","0.62428","0.39794","0.69197","0.74036","0.40993","0.45637","0.49415","0.3483","0.66652","-0.02228","0.26245","0.42813","0.54158","0.37107","0.55023","0.50106","1.14364","0.43775","0.52244","0.54777","0.58092","0.53403","0.41497","0.57749","0.39794","0.04922","0.04139","0.23045","0.59988","0.37658","0.49554","0.36361","0.4609","0.24304","0.50515","0.49554","0.53275","0.18469","0.25042"
"PC 36:1","1.54642","1.51095","1.0103","0.83822","1.79302","1.45667","1.60206","1.46583","1.42357","1.25091","1.34733","1.52647","1.47654","1.10755","1.27161","1.03503","1.42012","1.14582","1.38202","1.14891","1.82236","0.95713","1.36996","1.41913","1.51095","1.67724","1.1685","1.6131","1.37291","0.95617","1.15229","1.16465","0.53782","1.27416","1.30428","1","1.30535","1.01828","1.3166","1.2388","1.29732","0.81425","1.2615"
"PC 36:2","2.16236","2.2861","2.02706","1.85388","2.10374","2.08282","2.20548","2.19354","2.07232","1.9026","2.11227","1.98394","2.16373","1.90666","2.01666","1.95574","2.17941","1.80182","2.13239","2.02007","2.47366","1.81961","2.06867","1.91243","2.11952","2.03028","2.16826","2.18746","1.79092","1.81097","1.74726","1.868","1.91735","1.86136","1.854","1.74827","2.12094","1.82879","2.07423","2.13739","1.88863","1.56961","2.10602"
