"","JV-071D03","KT-312D03","KT-771D03","KT-663D03","KT-880D03","JV-138D03","KT-695D03","KT-434D03","KT-352D03","KT-445D03","BS-082D03","KT-537D03","KT-412D03","KT-926D03","KT-525D03","KT-522D03","KT-538D03","JV-035D03","KT-718D03","KT-716D03","KT-417D03","KT-805D03","KT-313D03","KT-247D03","BS-336D03","BS-671D03","BS-346D03","KT-612D03","BS-364D03","JV-148D03","KT-515D03","KT-193D03","JV-048D03","BS-064D03","BS-377D03","KT-723D03","KT-974D03","JV-157D03","BS-351D03","KT-565D03","KT-705D03","KT-347D03","KT-539D03"
"BS-336D03",0.947616717920045,0.944471947691284,0.925720892052253,0.820847190122078,0.834170078699274,0.848936932323129,0.933068332422509,0.837412200548373,0.940487838971205,0.897377655503894,0.85648638895023,0.884951732004242,0.955886892470856,0.924503191687634,0.907029636976974,0.884767934224689,0.907525240909987,0.97537231287,0.930438707646276,0.934433724628518,0.911209605324881,0.89704537646326,0.894395666831842,0.958913085276926,1,0.910550685824582,0.879049260971237,0.870228162935989,0.846767852685055,0.926081562762091,0.939654971577672,0.92849612982582,0.935747275739966,0.965037347697684,0.952555956148179,0.907045280484229,0.961498923977483,0.96879677573179,0.964306411021234,0.911107681290319,0.944827064038509,0.966580565129188,0.862548559395399
"BS-082D03",0.847948141561796,0.828478907870241,0.855898986030742,0.766801204446345,0.815322162635626,0.858009825395224,0.862087542483394,0.822947000582411,0.866480681254837,0.873828986110246,1,0.873514483155955,0.862665043784164,0.86803573722531,0.86439735248439,0.874891525300367,0.871526958842513,0.853394603361028,0.848604684350378,0.847211827741949,0.911819264617771,0.886732013596947,0.900608330255217,0.847349140079252,0.85648638895023,0.822786653357743,0.815806639487478,0.844452080527985,0.843907069944831,0.86756397867247,0.870429475067497,0.856906563244372,0.840325220312565,0.842355394166047,0.854541960072502,0.840601403072874,0.861894541918813,0.857908316312257,0.862943689414519,0.879640765677997,0.86582002758133,0.838603715265391,0.850267037096757
"JV-071D03",1,0.949812751549334,0.93849921665919,0.824630016845963,0.838814889033837,0.873442382346966,0.91934361307546,0.81083064455873,0.933487093467524,0.877624892649866,0.847948141561796,0.889616913500948,0.94134948602313,0.925985462678222,0.929118288623619,0.884208809720466,0.918335075763014,0.949189560695668,0.930205739781272,0.957780152773628,0.921468987432306,0.911038049602806,0.885330304784874,0.944530189827141,0.947616717920045,0.907897725633501,0.851745506703173,0.87786950890812,0.866963313293329,0.926672723884074,0.946807147516541,0.932136263316857,0.946568664582121,0.963741463948599,0.964559660348223,0.932703928156247,0.937200234138042,0.961347606555732,0.976275135085815,0.925898314762817,0.93238650759147,0.956571624935257,0.888891477443336
"KT-718D03",0.930205739781272,0.915692332784891,0.931644714430692,0.796197986590329,0.832517465211438,0.858012323978722,0.939993826405512,0.822681487136532,0.921516038416622,0.863231585507196,0.848604684350378,0.889265516980297,0.936192642348792,0.923417638614717,0.906311154737173,0.878965162774514,0.944349639254036,0.920433201225812,1,0.893458281416218,0.896026744648216,0.878114835019754,0.869981770423823,0.954160927443715,0.930438707646276,0.879729639311295,0.886776024395211,0.852777243897751,0.8101293837779,0.904765648922834,0.921731533691751,0.934961575090526,0.878641921744451,0.931647825555187,0.904737082738979,0.89257300610723,0.955663432321768,0.905293290277196,0.939865695199157,0.90308565040146,0.941391280054173,0.951373923998943,0.888953601811589
"KT-705D03",0.93238650759147,0.897660129009762,0.958828754062803,0.871002781057582,0.840725694903025,0.916058521698108,0.911542359274159,0.754590168259736,0.927805750266752,0.887657398470483,0.86582002758133,0.873085300950171,0.956076309549548,0.949929089997126,0.951795334815149,0.86302945587809,0.957852832930234,0.921387906059615,0.941391280054173,0.92842041503346,0.921719657303273,0.913531064812621,0.916574450504194,0.929122439177486,0.944827064038509,0.826017571837423,0.841143050204349,0.86210672228279,0.861346263053493,0.905685322651652,0.937095397988207,0.897194193279769,0.923071098884212,0.902389660931565,0.913787329464117,0.937881850003203,0.942267482833131,0.929498099859792,0.948432713268424,0.906489338777032,1,0.914716040466636,0.914722113022414
"KT-612D03",0.87786950890812,0.883604108368118,0.880927905605706,0.820042108699826,0.89167348579428,0.88753509069753,0.894373292797279,0.765756452409922,0.924200993060793,0.922416554551861,0.844452080527985,0.930442227386298,0.893533065707588,0.850728752635153,0.881680412025371,0.930893397441898,0.898111207595133,0.863577724910985,0.852777243897751,0.862747382045874,0.87588090718908,0.924568356745534,0.890273094193909,0.866967387604616,0.870228162935989,0.868124859946478,0.918197199180361,1,0.934801410616171,0.868655629847212,0.920857904197986,0.914562445220347,0.880089226176354,0.864367293927163,0.888915744754014,0.895176414417214,0.817522626951861,0.904603126996791,0.86905864332349,0.916393900934598,0.86210672228279,0.878274645031145,0.87488824888183
"KT-565D03",0.925898314762817,0.918350587519729,0.917873003396486,0.800017472593267,0.893434674358395,0.914203509671107,0.938514135299963,0.815074097941103,0.942922540649847,0.903461309989813,0.879640765677997,0.914585493148804,0.929331287110549,0.882056419325043,0.922068202398094,0.93909346379932,0.903911564641182,0.916213107358389,0.90308565040146,0.919488983500003,0.897907360058708,0.954119891091569,0.920266980411419,0.915779204709834,0.911107681290319,0.892452044496493,0.888627448730318,0.916393900934598,0.929326286059358,0.886870145871615,0.943735020811065,0.951132078222994,0.907817527923592,0.909005929030315,0.929466066778355,0.907330937640145,0.891177481260593,0.921923732149106,0.926146489782624,1,0.906489338777032,0.910883707927337,0.876090216809434
"KT-525D03",0.929118288623619,0.907630077762781,0.967049223873666,0.878237927120889,0.833525048793771,0.936643466675853,0.884112035360007,0.717393773464176,0.947368727630806,0.878191687768012,0.86439735248439,0.881796896975533,0.949948600271365,0.930099682902448,1,0.881394678462989,0.945912495502199,0.88550369704574,0.906311154737173,0.95053729002634,0.920478173567793,0.937132889429581,0.938455176734438,0.887146139625947,0.907029636976974,0.803123006989692,0.810342668772559,0.881680412025371,0.8977550373559,0.90738200702961,0.959066830948482,0.880573457172885,0.933443217888584,0.881919206173203,0.92656476155091,0.96784705443533,0.89608025865889,0.925769749450916,0.918769220157022,0.922068202398094,0.951795334815149,0.894691167537913,0.939395616175717
"KT-522D03",0.884208809720466,0.892951577770271,0.891687730783119,0.783020186606716,0.896830481426691,0.885551624226589,0.903152910483537,0.826958805831182,0.932686651500702,0.910048719124876,0.874891525300367,0.942201009331392,0.897764071442885,0.868698928941855,0.881394678462989,1,0.896034572666717,0.883763934349847,0.878965162774514,0.863576930360831,0.863070225254464,0.912503348903307,0.916274749055275,0.882002120001398,0.884767934224689,0.891546687228504,0.890564301496184,0.930893397441898,0.907249938846113,0.900752488410532,0.915578024092828,0.935124462719426,0.888030145953942,0.889052612577555,0.896877074864005,0.88580206468146,0.875318510756635,0.903341914291372,0.882547022837372,0.93909346379932,0.86302945587809,0.886599979619071,0.863690899136857
"KT-434D03",0.81083064455873,0.7990727960112,0.733650166874218,0.664913598809173,0.820587190387769,0.669202118855929,0.867940791910471,1,0.788192058202082,0.785179921901762,0.822947000582411,0.798272563406307,0.774655352279323,0.769414902963124,0.717393773464176,0.826958805831182,0.733708994093414,0.830325162070938,0.822681487136532,0.746319857220011,0.794666231826177,0.745315930798493,0.741248518490384,0.836306559749535,0.837412200548373,0.909602381077361,0.846301688992429,0.765756452409922,0.738146407388217,0.772926883300931,0.762821931582695,0.841827849914394,0.752776661495944,0.865611140397207,0.797174124498811,0.700693366596628,0.837066136311526,0.799713452042987,0.832588330196687,0.815074097941103,0.754590168259736,0.860054106504339,0.720196390206683
"KT-417D03",0.921468987432306,0.892231977755352,0.934201138634401,0.829965491638517,0.815777748660254,0.855675987349808,0.876108050195991,0.794666231826177,0.932616564698051,0.872668872104167,0.911819264617771,0.870179035297639,0.91473568035268,0.90818100544077,0.920478173567793,0.863070225254464,0.919511811589541,0.897759140352385,0.896026744648216,0.90405772960506,1,0.90012958837872,0.879320085280904,0.909500720748189,0.911209605324881,0.834483140242277,0.832657245144575,0.87588090718908,0.874275979560777,0.893008884867485,0.931003252836708,0.87710653912048,0.905301474981634,0.896128667792342,0.911515892780405,0.904273225507726,0.898714013640308,0.930427059221464,0.922617036906002,0.897907360058708,0.921719657303273,0.903603440945386,0.890432300998257
"KT-352D03",0.933487093467524,0.949841872617262,0.949509892442879,0.830253295062918,0.858605566797908,0.888527139462056,0.89874342961248,0.788192058202082,1,0.888947130889061,0.866480681254837,0.916017996802527,0.953612510572684,0.895026675053583,0.947368727630806,0.932686651500702,0.93138142817184,0.935237657051221,0.921516038416622,0.933897895418252,0.932616564698051,0.931775162074546,0.907130272752624,0.916387589781234,0.940487838971205,0.871661958720629,0.873166839509901,0.924200993060793,0.907820171596729,0.928580164942689,0.964844842046407,0.915496485102629,0.956644554085312,0.927637269069603,0.956312573910929,0.944972669802168,0.904296243666344,0.954501243485789,0.929046724652877,0.942922540649847,0.927805750266752,0.941518901088173,0.892499577759652
"KT-347D03",0.956571624935257,0.949681853263393,0.912485621518451,0.783517523554917,0.825239156077408,0.825550242578496,0.941222378843906,0.860054106504339,0.941518901088173,0.860601171839545,0.838603715265391,0.894774546020371,0.933023870783529,0.893288447933711,0.894691167537913,0.886599979619071,0.900734437625938,0.964615093409644,0.951373923998943,0.912505751410916,0.903603440945386,0.874305100543902,0.868216286750739,0.96076238734227,0.966580565129188,0.935595283546338,0.911388276577673,0.878274645031145,0.834712211887813,0.912022085486099,0.925872105725359,0.93891582580226,0.910409295421674,0.981470372414694,0.943531501627496,0.891168744940214,0.948755656767445,0.951865926997731,0.966234318412642,0.910883707927337,0.914716040466636,1,0.848576711953394
