feature	KT-695_D0_D3	KT-723_D0_D3	KT-247_D0_D3	KT-718_D0_D3	KT-880_D0_D3	KT-926_D0_D3	JV-138_D0_D3	KT-974_D0_D3	KT-193_D0_D3	KT-412_D0_D3	KT-805_D0_D3	BS-671_D0_D3	BS-351_D0_D3	JV-157_D0_D3	KT-522_D0_D3	KT-538_D0_D3	KT-539_D0_D3	KT-663_D0_D3	KT-515_D0_D3	BS-064_D0_D3	KT-771_D0_D3	BS-364_D0_D3	KT-417_D0_D3	KT-537_D0_D3	KT-716_D0_D3	KT-352_D0_D3	BS-336_D0_D3	KT-313_D0_D3	KT-525_D0_D3	KT-445_D0_D3	BS-377_D0_D3	KT-312_D0_D3	KT-612_D0_D3	JV-035_D0_D3	KT-434_D0_D3	BS-346_D0_D3	KT-705_D0_D3	BS-082_D0_D3	JV-148_D0_D3	KT-347_D0_D3
SM 38:1;O2	0.9639423076923076	0.8037914691943128	0.9030256012412723	0.774520856820744	2.2219387755102042	0.3876357560568087	2.0205314009661834	0.6957163958641064	1.0032292787944026	1.5088607594936707	1.5857843137254901	0.976190476190476	1.292267365661861	1.1423487544483986	1.1159638554216869	0.9880174291938999	1.1679324894514769	0.7942477876106194	0.8040141676505314	2.05718085106383	1.1088379705400981	1.3590844062947067	1.13905325443787	1.9080459770114941	0.9720410065237651	2.021505376344086	1.081924577373212	0.9875173370319001	0.7389428263214671	1.7353535353535352	1.9594095940959408	0.8193548387096774	1.567099567099567	1.1314935064935063	1.2533333333333332	1.731578947368421	1.1752336448598133	1.5721925133689838	1.4685714285714284	1.1795332136445242
SM 38:2;O2	1.0906666666666667	0.9743589743589746	1.1621621621621623	0.7958333333333333	1.6804979253112031	0.6859688195991092	1.6207865168539324	0.9413580246913579	1.0592783505154637	1.4718498659517427	1.37199124726477	1.2707692307692307	1.2586750788643535	1.0978260869565217	1.1288135593220339	1.0076923076923077	1.187110187110187	0.9	1.0086705202312138	1.4079601990049753	1.034623217922607	1.249190938511327	1.2166064981949458	1.653846153846154	1.132762312633833	1.6634146341463416	1.1926345609065157	1.053731343283582	0.9102244389027432	1.5326633165829144	1.57190635451505	0.888268156424581	1.478632478632479	0.9543973941368078	1.1197916666666667	1.713780918727915	1.091121495327103	2.7800000000000002	1.3721973094170403	1.1363636363636365
SM 39:1;O2	1.049261083743842	0.9392857142857143	0.9579831932773111	0.8070866141732282	1.99	0.6113074204946997	1.94300518134715	0.85	1.0459183673469388	1.3942307692307692	2.19	1.0928961748633879	1.2937853107344632	1.0512820512820513	0.641025641025641	1.0753768844221103	1.3241106719367588	0.924119241192412	1.0045871559633028	1.635294117647059	1.1484375	2.2	1.88	1.6099999999999999	0.931899641577061	2.19	1.1101321585903083	1.1666666666666667	0.7458333333333333	1.5033112582781456	2.2199999999999998	0.8868778280542986	2.73	1.5	1.0	1.7500000000000002	1.1637168141592922	2.0300000000000002	1.58	1.035294117647059
SM 40:0;O2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SM 40:1;O2	0.8748274275195582	0.7519703291608715	0.7480392156862745	0.7496947496947496	2.301169590643275	0.28650646950092423	2.3279164248403945	0.6134934248141796	0.9431183341797866	1.477231329690346	1.6909788867562379	0.7413450059689614	1.5307112068965518	1.0956399437412094	0.9907142857142857	0.9910573382430299	1.1001821493624773	0.813244263723497	0.7166494312306101	2.600119189511323	1.2079031683873265	1.3569355774811374	0.972073677956031	2.011608623548922	0.9017589017589018	2.208955223880597	0.9701101206082853	0.9677640603566529	0.7733194372068786	1.773898586866168	2.029230769230769	0.7458533975387908	1.4839357429718878	1.1264970059880242	1.1862745098039216	1.6344026548672568	1.1401584399756246	1.6464323748668797	1.550834597875569	1.2070312499999998
SM 40:2;O2	0.9992337164750956	0.8633578431372548	1.0341321713870735	0.8093977498345467	1.9490968801313628	0.618705035971223	1.6598579040852577	0.8651252408477842	1.0171288743882545	1.5377906976744184	1.5008474576271187	1.1888297872340425	1.1614135625596944	1.0793319415448852	1.2156368221941993	1.0276292335115864	1.2843264248704662	0.8489373923032739	0.987331081081081	1.5678571428571428	0.9966311061201573	1.2362362362362362	1.2372708757637474	1.9861932938856015	1.0050664977834072	2.030864197530864	1.2159926470588234	1.045132743362832	1.0675213675213675	1.8224582701062215	1.8242280285035628	0.9148148148148149	1.5243019648397105	1.0501022494887526	1.187037037037037	1.691842900302115	1.1190295678544353	1.4787379972565158	1.4896988906497624	1.0956989247311826
SM 40:3;O2	0.9797979797979798	0.8685446009389672	1.095959595959596	0.8457943925233646	1.8199999999999998	0.5102040816326531	1.367231638418079	0.8816568047337279	1.0924855491329482	1.206060606060606	2.19	1.0	1.042168674698795	1.0469798657718121	0.6451612903225806	0.9728260869565218	1.009259259259259	0.8488888888888889	0.868421052631579	1.3407821229050279	1.0917431192660552	1.51	1.6600000000000001	1.7	1.0157068062827224	1.9100000000000001	1.005813953488372	0.9153439153439152	0.8317757009345795	1.0	1.8	1.072538860103627	1.85	1.0681818181818181	1.0	2.05	1.1063829787234043	1.75	1.79	1.1176470588235294
SM 41:1;O2	0.9296346414073072	0.8312138728323699	0.7521951219512195	0.7879799666110184	2.0459016393442626	0.29464861379755	3.0158982511923687	0.6136363636363635	0.953360768175583	1.5083798882681565	1.802904564315353	0.7408568443051201	1.8585034013605444	1.09051724137931	1.0067720090293455	1.0529986052998606	1.2297297297297298	0.9193138500635324	0.7914507772020726	3.254777070063694	1.3202247191011236	1.7849650349650352	0.9069767441860465	1.8135593220338977	0.7975746268656717	2.088328075709779	0.9000000000000001	1.0917159763313609	0.6876606683804627	1.8633405639913234	2.0197802197802197	0.7910447761194029	1.7567975830815712	0.9818181818181817	1.076305220883534	1.7071524966261808	1.1945288753799392	1.5468354430379747	1.4234875444839858	1.0544464609800364
SM 41:2;O2	1.0587084148727983	0.9550724637681158	1.0349514563106796	0.808095952023988	1.8362369337979092	0.708649468892261	1.9515418502202642	0.9051094890510951	1.109014675052411	1.5576923076923077	1.5475	1.2538631346578368	1.1824324324324325	1.1104815864022664	1.0790273556231003	1.1255506607929515	1.4406504065040648	0.8834285714285715	1.0433925049309665	1.6278538812785388	1.0406162464985995	1.3923076923076922	1.224390243902439	1.857142857142857	0.935820895522388	1.9317406143344713	1.206959706959707	1.1996370235934666	0.942	1.8673469387755104	1.7781155015197567	0.825515947467167	1.7918552036199096	1.043010752688172	1.0956175298804782	1.6509635974304069	1.118067978533095	1.3904494382022472	1.4262295081967213	1.1306532663316582
SM 42:1;O2	0.8529577464788732	0.8097531607465382	0.6976744186046512	0.7241054613935971	2.3542976939203357	0.22474498190194142	2.8314436885865457	0.5887221934816349	0.8843771507226428	1.504394861392833	1.7603092783505152	0.7021085688649619	1.9485846331600232	1.0474504249291785	0.9062500000000001	1.2123456790123457	1.1630769230769231	0.6524083393242271	0.6929625425652668	3.2981445937300062	1.19394944053046	1.5823045267489713	0.77624475104979	2.421633554083886	0.7555650684931506	2.1877076411960132	0.7803468208092484	1.068421052631579	0.9243176178660051	1.7495412844036697	1.9012345679012346	0.7443019943019943	1.3208556149732622	0.9630681818181818	1.0542056074766355	1.7024390243902439	1.3009143807148795	1.5520833333333333	1.7474048442906573	1.0748299319727892
SM 42:2;O2	0.9579457364341085	0.6658551430310408	0.9524216524216523	0.7998060135790495	1.97836278398846	0.515274949083503	1.529777777777778	0.712871287128713	1.1355633802816902	1.4558097801704801	1.2974062390466177	1.0283194844836359	1.0095936794582394	1.0978552278820375	1.0951501154734413	0.8023517205602628	1.0973314823384237	0.6791655664114075	0.8226236912338328	1.7503100454733362	1.0063745943439963	0.9973973973973973	1.0157759810688227	1.79526671675432	0.9896925858951175	1.9532878189004672	1.1680898876404493	0.8553103188077722	1.018185662930852	1.6141528925619835	1.6219062664560298	0.8333632931871292	1.169833045480714	1.1162478419336275	1.1696498054474709	1.2155898876404494	0.9921600990303281	1.242523923444976	1.5437727122563594	1.343231001509814
SM 42:3;O2	0.8712368516503446	0.855712806351398	1.0555130168453293	0.7705038617138653	1.7280898876404496	0.5512775638781939	1.480225988700565	0.82697807435653	0.9992369324685235	1.3415597235932872	1.3121019108280254	1.041934103551562	1.066545948392938	1.0090180360721444	1.0595768374164811	0.8627532038032245	1.1646005509641875	0.8025764895330113	0.8495389773679799	1.4585511575802839	0.9316508937960042	1.184873949579832	1.0903553299492386	2.1142857142857143	1.0586395621579359	1.9477221807318892	1.1477008824895494	1.036883356385431	1.0434782608695652	1.772162386081193	1.6846473029045648	0.7731320170344561	1.2191038897095028	1.1516472868217054	1.1587429492344883	1.2924571957427118	1.0557590557590557	1.210114388922336	1.5448318804483185	1.1274409044193217
SM 42:4;O2	0.9676375404530746	0.6126315789473684	1.0942622950819672	0.80718954248366	2.4566473988439306	0.6632302405498282	1.4690265486725664	0.8228346456692913	1.0	1.3097345132743363	1.3390557939914163	1.1255813953488372	1.1140350877192982	0.9473684210526315	1.031413612565445	1.0325581395348837	1.142857142857143	1.1313672922252012	0.8844765342960289	1.3745454545454545	1.1162079510703364	1.1141304347826086	1.2128712871287128	2.3	1.172	1.5698324022346368	0.9492187499999999	1.0276679841897232	0.944649446494465	1.2865497076023393	1.3749999999999998	0.9632352941176472	1.3038674033149174	1.0883720930232559	1.72	1.3495575221238938	1.203187250996016	2.56	1.3653846153846152	0.8813559322033897
